modality,phase,class,ref_set,n_evaluable,n_gt_present,n_total,ref_dice_mean,ref_dice_sd,ref_dice_median,ref_hd95_median,ref_nsd_mean,best_synth_set,best_synth_dice_mean,best_synth_dice_sd,best_synth_hd95_median,best_synth_nsd_mean,retention_pct
T2,all,tumor,REAL_T2,22,22,29,0.5172038933274975,0.30478938310413245,0.5972274333345584,6.691263154006466,0.64297556191255,ResViT-2D+3D-refine-T2-from-single,0.412853825068531,0.254357932307704,10.90998836314742,0.41017900265694857,79.82419127056122
T2,all,cavity,REAL_T2,16,16,29,0.5827421602061673,0.3312259491027053,0.6740591346192608,5.80224245029499,0.681557140142462,SynDiff-3D+3D-refine-T2-from-dual,0.23874153785666657,0.23297033520620136,13.30516971530375,0.3150384263150518,40.96864001949038
T2,preop,tumor,REAL_T2,16,16,16,0.6594537636728858,0.2073362380141706,0.6772397496420333,4.97890671417753,0.6992076586233154,ResViT-2D+3D-refine-T2-from-single,0.5242400772794704,0.19617113944161554,8.646286929130486,0.4974575437019336,79.496108166806
T2,preop,cavity,REAL_T2,4,4,16,0.39343207778526595,0.45845535705119667,0.32755730198797745,18.278678718176536,0.41805118529792007,SynDiff-3D+3D-refine-T2-from-dual,0.2268568660019301,0.2561200270693464,13.191185821580119,0.2532941912645023,57.66099888930457
T2,postop,tumor,REAL_T2,6,6,13,0.13787090573979568,0.15419577981201213,0.11292593635595607,12.689156610593688,0.3430710461218014,GAN-swinpix2pix-2D+3D-post-T2-from-dual,0.17242430110885185,0.11343373231471672,25.631286933347187,0.19507175015339284,125.06213706484886
T2,postop,cavity,REAL_T2,12,12,13,0.6458455210131343,0.2736915746189749,0.7343555510436599,5.5693382434603285,0.7773774873586592,ResViT-3D-T2-from-single,0.29012861764911785,0.27779874383365916,11.34373647073483,0.424198324195474,44.92229305763315
FLAIR,all,tumor,REAL_FLAIR,15,15,19,0.46638046435971336,0.31014811662321673,0.394055294503333,9.73865488613552,0.5410558348319562,ResViT-3D-FLAIR,0.4092047487898937,0.2325599044590931,7.860916817791681,0.42155920371117983,87.74054233847137
FLAIR,all,cavity,REAL_FLAIR,9,9,19,0.4102154679508068,0.3771918736738313,0.5553944916131704,5.157322847938024,0.5092876371431643,ResViT-2D+3D-refine-FLAIR,0.18705716163502595,0.29406485229926677,18.654575507137643,0.3035312183194484,45.59973385924538
FLAIR,preop,tumor,REAL_FLAIR,12,12,12,0.5220945683435413,0.31485745606610066,0.5249197375370089,6.023557276204257,0.6051471438316361,SynDiff-2D-FLAIR,0.4461051435454551,0.23647699288492022,10.245382880302467,0.4308660760390441,85.44527574014433
FLAIR,preop,cavity,REAL_FLAIR,3,3,12,0.2952443852322392,0.44988772834382196,0.07246734039930984,12.042142286588916,0.37043436791261336,SynDiff-3D-FLAIR,0.11165280517897153,0.098993264580502,18.25417735350286,0.12944616832469913,37.81707993909704
FLAIR,postop,tumor,REAL_FLAIR,3,3,7,0.24352404842440198,0.1870225687198871,0.3023580121703854,19.644873376079758,0.2846905988332358,ResViT-3D-FLAIR,0.28009279023901096,0.07390302904463818,10.686669378371677,0.3553664683187388,115.01648073412395
FLAIR,postop,cavity,REAL_FLAIR,6,6,7,0.46770100931009057,0.36712645394174914,0.6259013181012547,4.960973739624023,0.5925995986814947,ResViT-2D+3D-refine-FLAIR,0.24077513759851052,0.34727178780141554,10.465070184464798,0.40034735309123454,51.48056831300831
