modality,phase,class,n_human_pairs,human_dice_mean,human_dice_sd,human_dice_median,human_hd95_median,human_nsd_mean,n_real,real_dice_mean,real_dice_median,real_hd95_median,real_nsd_mean,best_synth_set,best_synth_dice,best_synth_hd95_median,best_synth_nsd,retention_pct_vs_real,retention_pct_vs_human,gap_real_vs_human
T2,all,lesion,27,0.5633261424931467,0.22603709986595005,0.6054126518642647,6.305239349686086,0.5516392582726853,29,0.6624126842726568,0.6952143343161715,5.352169891822175,0.7244888062169278,ResViT-2D+3D-refine-T2-from-single,0.4068125532553014,11.444939892295725,0.3964810216858977,61.413762585478004,72.21616796530095,0.09908654177951004
T2,preop,lesion,14,0.6893122355482546,0.1294608506390063,0.7281390652837494,3.941899348874328,0.6348378935268525,16,0.7357692760119727,0.7561842105607337,3.0171200165005225,0.7557279621887738,ResViT-2D+3D-refine-T2-from-single,0.5458253994828748,8.646286929130486,0.5027403586941825,74.18431528445514,79.18405786729501,0.046457040463718124
T2,postop,lesion,13,0.4276488115107231,0.23255953440750438,0.43956574185765984,7.8986811412986215,0.46204072799896656,13,0.572127648285806,0.5677888989990901,6.179140440482272,0.6828365982544663,ResViT-3D-T2-from-single,0.2997943479180948,11.72498491335425,0.41318653691017043,52.3999056532805,70.10293021954945,0.1444788367750829
FLAIR,all,lesion,27,0.5633261424931467,0.22603709986595005,0.6054126518642647,6.305239349686086,0.5516392582726853,19,0.510616550963707,0.5630498533724341,5.353671956252025,0.5551692276230616,ResViT-2.5D-FLAIR,0.3725674632968583,13.29581512559552,0.33885131262133045,72.96423560765841,66.13708031513748,-0.05270959152943977
FLAIR,preop,lesion,14,0.6893122355482546,0.1294608506390063,0.7281390652837494,3.941899348874328,0.6348378935268525,12,0.5754314212855025,0.5857407180402721,4.097149621574424,0.6429289664216898,ResViT-2.5D-FLAIR,0.48313134222644166,10.53573605127549,0.40579853187615217,83.95984723029822,70.08889691943101,-0.1138808142627521
FLAIR,postop,lesion,13,0.4276488115107231,0.23255953440750438,0.43956574185765984,7.8986811412986215,0.46204072799896656,7,0.3995053446977716,0.4328545530609399,7.242999958416839,0.4047239611111276,ResViT-3D-FLAIR,0.23144813338283618,14.586473966727173,0.2674598872908848,57.933676346164575,54.121074852334225,-0.02814346681295149
T2,all,tumor,27,0.5528032211101171,0.2835953323596564,0.6244377361121062,4.777345772473605,0.6198728980657574,22,0.5172038933274975,0.5972274333345584,6.691263154006466,0.64297556191255,ResViT-2D+3D-refine-T2-from-single,0.412853825068531,10.90998836314742,0.41017900265694857,79.82419127056122,74.68368658190063,-0.03559932778261965
T2,all,cavity,27,0.44826743574035044,0.18824334776266533,0.43887582346089393,6.350400645980121,0.49325109833864134,16,0.5827421602061673,0.6740591346192608,5.80224245029499,0.681557140142462,SynDiff-3D+3D-refine-T2-from-dual,0.23874153785666657,13.30516971530375,0.3150384263150518,40.96864001949038,53.258728790407304,0.13447472446581687
T2,preop,tumor,14,0.6893140954611845,0.12555382660046344,0.7281390652837494,4.421222134896352,0.6348704777624672,16,0.6594537636728858,0.6772397496420333,4.97890671417753,0.6992076586233154,ResViT-2D+3D-refine-T2-from-single,0.5242400772794704,8.646286929130486,0.4974575437019336,79.496108166806,76.05242381250429,-0.029860331788298722
T2,preop,cavity,14,0.7239204269771955,0.0,0.7239204269771955,3.513198533255558,0.812910938433951,4,0.39343207778526595,0.32755730198797745,18.278678718176536,0.41805118529792007,SynDiff-3D+3D-refine-T2-from-dual,0.2268568660019301,13.191185821580119,0.2532941912645023,57.66099888930457,31.33726547117815,-0.33048834919192954
