class,dice_max,dice_mean,dice_median,dice_min,dice_n,dice_sd,hd95_mm_max,hd95_mm_mean,hd95_mm_median,hd95_mm_min,hd95_mm_n,hd95_mm_sd,n_both_present,n_obs1_present,n_total,nsd2mm_max,nsd2mm_mean,nsd2mm_median,nsd2mm_min,nsd2mm_n,nsd2mm_sd,scope
lesion,0.9547153081259104,0.5565436313404473,0.5808419988445985,0.019579665888270162,147,0.21205948040789216,34.354706064962365,8.577664521732508,6.751032964550115,0.0,147,6.654160816656753,147,147,147,1.0,0.53510828972663,0.5140344944200202,0.0472744814278823,147,0.21892432256210725,all_no_copies
lesion,0.842911877394636,0.5633261424931467,0.6054126518642647,0.019579665888270162,27,0.22603709986595005,22.01472579167943,7.65612892703835,6.305239349686086,0.010589930810965598,27,5.988649986285919,27,27,27,1.0,0.5516392582726853,0.5248608647789126,0.0472744814278823,27,0.23617256952624313,test_no_copies
lesion,0.842911877394636,0.6893122355482546,0.7281390652837494,0.4446563369090187,14,0.1294608506390063,15.066344946165128,5.686160292436058,3.941899348874328,0.010589930810965598,14,4.8201860411646065,14,14,14,1.0,0.6348378935268525,0.5809874767544048,0.3627448933793982,14,0.1888963812769149,test_preop
lesion,0.8093697025735861,0.4276488115107231,0.43956574185765984,0.019579665888270162,13,0.23255953440750438,22.01472579167943,9.777633610456206,7.8986811412986215,1.3579742172457745,13,6.567448721435638,13,13,13,0.9675255469876497,0.46204072799896656,0.45474402730375424,0.0472744814278823,13,0.255779813099525,test_postop
lesion,0.9547153081259104,0.5550175663310899,0.5801539130000386,0.02511566424322538,120,0.20975321688045598,34.354706064962365,8.785010030538695,6.846515324765031,0.0,120,6.8008999930033065,120,120,120,1.0,0.5313888218037676,0.49703192556493486,0.053256178893683795,120,0.2157304255797538,train_no_copies
lesion,0.9547153081259104,0.6412783907206754,0.6787573245010383,0.06586894586894587,74,0.19497799589594436,28.290774582157837,7.00704407253924,5.035263995735528,0.0,74,6.004245055897413,74,74,74,1.0,0.5821365469473002,0.5594654607686986,0.053256178893683795,74,0.2227187769330506,all_preop
lesion,0.8430418923400023,0.47064812183172283,0.4653853244837758,0.019579665888270162,73,0.19437909408636583,34.354706064962365,10.169800319544862,8.482935093067077,1.3579742172457745,73,6.9374715052132405,73,73,73,0.9706980068291908,0.48743580980430684,0.4579897714226072,0.0472744814278823,73,0.20571128353108134,all_postop
lesion,1.0,0.5739340771702337,0.5893617021276596,0.019579665888270162,153,0.22506075895119168,34.354706064962365,8.241285520880252,6.4671238212953615,0.0,153,6.732048691045986,153,153,153,1.0,0.5533393371883307,0.5226191792943259,0.0472744814278823,153,0.2328790126929569,all_with_copies
tumor,0.9547153081259104,0.4845697325678518,0.5565613782380746,0.0,122,0.29619018210032483,36.170121518519814,8.546625657708944,6.09870618369737,0.0,104,7.638866483517806,104,122,147,1.0,0.5437612054625819,0.5292138754489972,0.0003249390739236393,104,0.23376638147242834,all_no_copies
tumor,0.842911877394636,0.5528032211101171,0.6244377361121062,0.0,21,0.2835953323596564,22.05690811534742,6.270131682477253,4.777345772473605,0.010589930810965598,18,5.669095382822043,18,21,27,1.0,0.6198728980657574,0.591102353385955,0.3371412649763165,18,0.1966104655406726,test_no_copies
