set,n_common,dice_common,retention_common,n_full,dice_full,retention_vs_full_ceiling
ResViT-2D+3D-refine-T2-from-single,19,0.4356,0.627,29,0.4068,0.614
SynDiff-2D-T2,19,0.4039,0.582,29,0.3689,0.557
SynDiff-2.5D-T2,19,0.4015,0.578,29,0.3499,0.528
SynDiff-3D+3D-refine-T2-from-dual,19,0.3947,0.569,29,0.343,0.518
SynDiff-2D-T2-from-dual,19,0.3845,0.554,29,0.3318,0.501
SynDiff-3D+3D-refine-T2,19,0.3822,0.551,29,0.3524,0.532
ResViT-3D-T2-from-dual,19,0.3783,0.545,29,0.33,0.498
ResViT-2.5D-T2-from-single,19,0.3723,0.536,29,0.3764,0.568
ResViT-2D-T2-from-single,19,0.3722,0.536,29,0.3522,0.532
ResViT-3D-T2-from-single,19,0.3633,0.523,29,0.359,0.542
SynDiff-cascade-T2,19,0.363,0.523,29,0.3662,0.553
SynDiff-joint-T2,19,0.3588,0.517,29,0.362,0.546
ResViT-2D+3D-refine-T2-from-dual,19,0.3447,0.497,29,0.3182,0.48
GAN-cyclegan-3D-T2-from-single,19,0.3264,0.47,29,0.2735,0.413
ResViT-2.5D-T2-from-dual,19,0.3218,0.463,29,0.3334,0.503
GAN-cyclegan-2D-T2-from-dual,19,0.3217,0.463,19,0.3217,0.486
SynDiff-2.5D-T2-from-dual,19,0.3199,0.461,29,0.292,0.441
GAN-cyclegan-2D+3D-post-T2-from-dual,19,0.3049,0.439,19,0.3049,0.46
GAN-cyclegan-2.5D-T2-from-dual,19,0.3004,0.433,19,0.3004,0.453
GAN-cut-3D-T2-from-dual,19,0.2988,0.43,19,0.2988,0.451
GAN-pix2pix-2.5D-T2-from-dual,19,0.2977,0.429,19,0.2977,0.449
GAN-swinpix2pix-2D+3D-post-T2-from-dual,19,0.2944,0.424,19,0.2944,0.444
ResViT-2D-T2-from-dual,19,0.289,0.416,29,0.3026,0.457
GAN-cyclegan-2.5D-T2-from-single,19,0.2853,0.411,29,0.2531,0.382
GAN-cut-2D+3D-post-T2-from-single,19,0.2851,0.411,29,0.2791,0.421
GAN-cut-2D+3D-post-T2-from-dual,19,0.2849,0.41,19,0.2849,0.43
GAN-cut-2.5D-T2-from-dual,19,0.2836,0.409,19,0.2836,0.428
GAN-swinpix2pix-2D-T2-from-single,19,0.2834,0.408,29,0.2676,0.404
GAN-swinpix2pix-2.5D-T2-from-single,19,0.2822,0.407,29,0.2558,0.386
GAN-cyclegan-2D+3D-post-T2-from-single,19,0.278,0.401,29,0.2493,0.376
GAN-pix2pix-2D+3D-post-T2-from-dual,19,0.2736,0.394,19,0.2736,0.413
GAN-cut-2D-T2-from-single,19,0.2718,0.392,29,0.2579,0.389
GAN-cut-2.5D-T2-from-single,19,0.2704,0.39,29,0.2484,0.375
GAN-swinpix2pix-2D-T2-from-dual,19,0.2694,0.388,19,0.2694,0.407
GAN-pix2pix-2D-T2-from-dual,19,0.269,0.387,19,0.269,0.406
GAN-pix2pix-2.5D-T2-from-single,19,0.2682,0.386,29,0.2446,0.369
SynDiff-3D-T2-from-dual,19,0.268,0.386,29,0.2571,0.388
GAN-cyclegan-3D-T2-from-dual,19,0.267,0.385,19,0.267,0.403
GAN-cut-3D-T2-from-single,19,0.263,0.379,29,0.2368,0.357
GAN-cyclegan-2D-T2-from-single,19,0.2623,0.378,29,0.2233,0.337
GAN-pix2pix-2D+3D-post-T2-from-single,19,0.2622,0.378,29,0.2575,0.389
GAN-swinpix2pix-2D+3D-post-T2-from-single,19,0.2621,0.378,29,0.2592,0.391
GAN-cut-2D-T2-from-dual,19,0.261,0.376,19,0.261,0.394
GAN-pix2pix-2D-T2-from-single,19,0.2567,0.37,29,0.2507,0.378
GAN-swinpix2pix-3D-T2-from-dual,19,0.2464,0.355,19,0.2464,0.372
GAN-swinpix2pix-2.5D-T2-from-dual,19,0.243,0.35,19,0.243,0.367
GAN-pix2pix-3D-T2-from-dual,19,0.2382,0.343,19,0.2382,0.36
GAN-pix2pix-3D-T2-from-single,19,0.2257,0.325,29,0.1963,0.296
SynDiff-3D-T2,19,0.2057,0.296,29,0.1964,0.296
GAN-swinpix2pix-3D-T2-from-single,19,0.2025,0.292,29,0.1838,0.277
