channel,endpoint,metric,n,pearson_r,p,spearman_rho,p_rho
T2,dice,LPIPS,48,-0.583,1.39e-05,-0.477,0.000601
T2,dice,SSIM,48,-0.535,8.87e-05,-0.355,0.0134
T2,dice,PSNR,48,0.439,0.0018,0.373,0.00894
T2,dice,MAE,48,-0.369,0.00975,-0.305,0.0352
T2,nsd,LPIPS,48,-0.817,1.35e-12,-0.691,5.46e-08
T2,nsd,SSIM,48,-0.821,9.4e-13,-0.501,0.00029
T2,nsd,PSNR,48,0.319,0.0269,0.267,0.0662
T2,nsd,MAE,48,-0.192,0.191,-0.147,0.318
FLAIR,dice,LPIPS,24,-0.361,0.0832,-0.457,0.0246
FLAIR,dice,SSIM,24,-0.279,0.186,-0.149,0.488
FLAIR,dice,PSNR,24,0.328,0.118,0.373,0.0726
FLAIR,dice,MAE,24,-0.351,0.0923,-0.375,0.0712
FLAIR,nsd,LPIPS,24,-0.662,0.000423,-0.797,3.21e-06
FLAIR,nsd,SSIM,24,-0.657,0.000488,-0.546,0.00577
FLAIR,nsd,PSNR,24,0.154,0.473,0.191,0.371
FLAIR,nsd,MAE,24,-0.174,0.415,-0.198,0.353
