modality,cls,phase,n,real_dice,real_nsd,best_set,best_dice,best_nsd,ret
T2,tumor,all,22,0.5172038933274975,0.64297556191255,ResViT-2D+3D-refine-T2-from-single,0.412853825068531,0.41017900265694857,79.82419127056123
T2,tumor,preop,16,0.6594537636728858,0.6992076586233154,ResViT-2D+3D-refine-T2-from-single,0.5242400772794704,0.4974575437019336,79.496108166806
T2,tumor,postop,6,0.13787090573979568,0.3430710461218014,GAN-swinpix2pix-2D+3D-post-T2-from-dual,0.17242430110885185,0.19507175015339284,125.06213706484886
T2,cavity,all,16,0.5827421602061673,0.681557140142462,SynDiff-3D+3D-refine-T2-from-dual,0.23874153785666657,0.3150384263150518,40.96864001949037
T2,cavity,preop,4,0.39343207778526595,0.41805118529792007,SynDiff-3D+3D-refine-T2-from-dual,0.2268568660019301,0.2532941912645023,57.66099888930458
T2,cavity,postop,12,0.6458455210131343,0.7773774873586592,ResViT-3D-T2-from-single,0.29012861764911785,0.424198324195474,44.92229305763315
FLAIR,tumor,all,15,0.46638046435971336,0.5410558348319562,ResViT-3D-FLAIR,0.4092047487898937,0.42155920371117983,87.74054233847139
FLAIR,tumor,preop,12,0.5220945683435413,0.6051471438316361,SynDiff-2D-FLAIR,0.4461051435454551,0.4308660760390441,85.44527574014431
FLAIR,tumor,postop,3,0.24352404842440198,0.2846905988332358,ResViT-3D-FLAIR,0.28009279023901096,0.3553664683187388,115.01648073412395
FLAIR,cavity,all,9,0.4102154679508068,0.5092876371431643,ResViT-2D+3D-refine-FLAIR,0.18705716163502595,0.3035312183194484,45.599733859245376
FLAIR,cavity,preop,3,0.2952443852322392,0.37043436791261336,SynDiff-3D-FLAIR,0.11165280517897153,0.12944616832469913,37.81707993909704
FLAIR,cavity,postop,6,0.46770100931009057,0.5925995986814947,ResViT-2D+3D-refine-FLAIR,0.24077513759851052,0.40034735309123454,51.480568313008305
