scope,metric,endpoint,n,pooled_r,pooled_p,within_family_r,within_family_p,within_family_df
global,SSIM,Dice,48,-0.535,8.87e-05,0.354,0.0198,41
global,SSIM,NSD,48,-0.821,9.4e-13,0.189,0.224,41
global,PSNR,Dice,48,0.439,0.0018,0.374,0.0135,41
global,PSNR,NSD,48,0.319,0.0269,0.148,0.344,41
global,MAE,Dice,48,-0.369,0.00975,-0.429,0.00408,41
global,MAE,NSD,48,-0.192,0.191,-0.182,0.242,41
global,LPIPS,Dice,48,-0.583,1.39e-05,-0.114,0.468,41
global,LPIPS,NSD,48,-0.817,1.35e-12,-0.412,0.00611,41
roi_lesion_5mm,SSIM,Dice,48,0.561,3.37e-05,0.523,0.000325,41
roi_lesion_5mm,SSIM,NSD,48,0.374,0.00876,0.206,0.185,41
roi_lesion_5mm,PSNR,Dice,48,0.549,5.43e-05,0.543,0.000171,41
roi_lesion_5mm,PSNR,NSD,48,0.348,0.0153,0.211,0.175,41
roi_lesion_5mm,MAE,Dice,48,-0.606,4.99e-06,-0.485,0.00097,41
roi_lesion_5mm,MAE,NSD,48,-0.507,0.000239,-0.218,0.16,41
roi_lesion_5mm,LPIPS,Dice,48,-0.575,1.93e-05,0.008,0.962,41
roi_lesion_5mm,LPIPS,NSD,48,-0.816,1.52e-12,-0.217,0.162,41
single_target_only,SSIM,Dice,24,-0.614,0.00141,0.636,0.00342,17
single_target_only,SSIM,NSD,24,-0.795,3.51e-06,0.466,0.0443,17
single_target_only,LPIPS,Dice,24,-0.732,4.77e-05,-0.174,0.476,17
single_target_only,LPIPS,NSD,24,-0.865,4.77e-08,-0.445,0.0562,17
