modality,class,phase,n_studies_total,n_gt_present,n_gt_absent,pct_gt_present
T2,tumor,all,29,22,7,75.86206896551724
T2,tumor,postop,13,6,7,46.15384615384615
T2,cavity,all,29,16,13,55.172413793103445
T2,cavity,postop,13,12,1,92.3076923076923
T2,lesion,all,29,29,0,100.0
T2,lesion,postop,13,13,0,100.0
T2,tumor,preop,16,16,0,100.0
T2,cavity,preop,16,4,12,25.0
T2,lesion,preop,16,16,0,100.0
FLAIR,tumor,all,19,15,4,78.94736842105263
FLAIR,tumor,postop,7,3,4,42.857142857142854
FLAIR,cavity,all,19,9,10,47.368421052631575
FLAIR,cavity,postop,7,6,1,85.71428571428571
FLAIR,lesion,all,19,19,0,100.0
FLAIR,lesion,postop,7,7,0,100.0
FLAIR,tumor,preop,12,12,0,100.0
FLAIR,cavity,preop,12,3,9,25.0
FLAIR,lesion,preop,12,12,0,100.0
