modality,study,phase,class_id,class,gt_present,pred_present,dice,hd95_mm,nsd2mm,gt_vox,pred_vox,spacing,set
FLAIR,ReMIND-003-post,postop,1,tumor,0,1,nan,nan,nan,0,26888,"0.9264,0.9265,1.9922",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-003-post,postop,2,cavity,1,0,0.0,nan,nan,2099,0,"0.9264,0.9265,1.9922",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-003-post,postop,lesion,lesion,1,1,0.04836650912478008,31.97391172076166,0.07227983284321313,2099,26888,"0.9264,0.9265,1.9922",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-023-pre,preop,1,tumor,1,1,0.02367447595561036,14.336986846543759,0.09202453987730061,3895,160,"0.6872,0.6822,2.1845",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-023-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.6872,0.6822,2.1845",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-023-pre,preop,lesion,lesion,1,1,0.02367447595561036,14.336986846543759,0.09202453987730061,3895,160,"0.6872,0.6822,2.1845",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-032-post,postop,1,tumor,1,1,0.1601151588971321,20.40770782084684,0.23541820483071407,13367,13726,"0.8594,0.8379,1.9501",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-032-post,postop,2,cavity,1,0,0.0,nan,nan,6211,0,"0.8594,0.8379,1.9501",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-032-post,postop,lesion,lesion,1,1,0.38109536392024984,14.940896720334209,0.29162368475345574,19578,13726,"0.8594,0.8379,1.9501",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-032-pre,preop,1,tumor,1,1,0.3997148288973384,14.323852984476598,0.2991244697174835,32911,13377,"0.8208,0.8169,1.9763",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-032-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.8208,0.8169,1.9763",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-032-pre,preop,lesion,lesion,1,1,0.3997148288973384,14.323852984476598,0.2991244697174835,32911,13377,"0.8208,0.8169,1.9763",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-045-pre,preop,1,tumor,1,1,0.739885421341387,2.103920112025739,0.7380189330440785,123470,123871,"0.2608,0.2430,0.9600",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-045-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.2608,0.2430,0.9600",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-045-pre,preop,lesion,lesion,1,1,0.739885421341387,2.103920112025739,0.7380189330440785,123470,123871,"0.2608,0.2430,0.9600",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-056-post,postop,1,tumor,0,1,nan,nan,nan,0,5866,"0.8539,0.8523,1.9741",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-056-post,postop,2,cavity,1,0,0.0,nan,nan,17551,0,"0.8539,0.8523,1.9741",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-056-post,postop,lesion,lesion,1,1,0.31993850621343467,13.845251584830814,0.19396999851477795,17551,5866,"0.8539,0.8523,1.9741",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-056-pre,preop,1,tumor,1,1,0.7055802007938361,4.901879785505463,0.377468246344327,55846,68361,"0.7937,0.7936,1.2000",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-056-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.7937,0.7936,1.2000",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-056-pre,preop,lesion,lesion,1,1,0.7055802007938361,4.901879785505463,0.377468246344327,55846,68361,"0.7937,0.7936,1.2000",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-077-post,postop,1,tumor,1,1,0.0904225743675285,19.58613560137718,0.1892706449668475,2094,26682,"0.8558,0.8268,1.9283",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-077-post,postop,2,cavity,1,0,0.0,nan,nan,2767,0,"0.8558,0.8268,1.9283",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-077-post,postop,lesion,lesion,1,1,0.18641219922011223,19.28330421447754,0.21520602117617044,4861,26682,"0.8558,0.8268,1.9283",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-077-pre,preop,1,tumor,1,1,0.11428189980307733,21.823473643960277,0.13656716417910447,6841,53081,"0.9765,0.9644,0.9880",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-077-pre,preop,2,cavity,1,0,0.0,nan,nan,5265,0,"0.9765,0.9644,0.9880",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-077-pre,preop,lesion,lesion,1,1,0.17828708178010952,21.5592875096833,0.15197305932130215,12106,53081,"0.9765,0.9644,0.9880",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-079-post,postop,1,tumor,1,1,0.02588326646822829,29.79305041445033,0.06275752773375594,7260,467,"0.7990,0.7254,1.8280",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-079-post,postop,2,cavity,0,0,nan,nan,nan,0,0,"0.7990,0.7254,1.8280",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-079-post,postop,lesion,lesion,1,1,0.02588326646822829,29.79305041445033,0.06275752773375594,7260,467,"0.7990,0.7254,1.8280",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-079-pre,preop,1,tumor,1,1,0.3577152662419452,15.030622058859423,0.30469197024604233,14068,40713,"0.9526,0.9132,0.9551",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-079-pre,preop,2,cavity,1,0,0.0,nan,nan,7069,0,"0.9526,0.9132,0.9551",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-079-pre,preop,lesion,lesion,1,1,0.3495877122069523,14.660407445639791,0.29649811683628496,21137,40713,"0.9526,0.9132,0.9551",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-087-pre,preop,1,tumor,1,1,0.20059899733055536,15.066992368514777,0.2246367813237303,11505,19213,"0.9766,0.9734,0.9968",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-087-pre,preop,2,cavity,1,0,0.0,nan,nan,11681,0,"0.9766,0.9734,0.9968",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-087-pre,preop,lesion,lesion,1,1,0.48331328569070026,12.000490908306258,0.27589743589743587,23186,19213,"0.9766,0.9734,0.9968",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-091-pre,preop,1,tumor,1,1,0.4663096992129946,10.526067633734092,0.18624161073825504,25347,30307,"0.9733,0.9707,0.9931",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-091-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.9733,0.9707,0.9931",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-091-pre,preop,lesion,lesion,1,1,0.4663096992129946,10.526067633734092,0.18624161073825504,25347,30307,"0.9733,0.9707,0.9931",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-096-post,postop,1,tumor,0,1,nan,nan,nan,0,24457,"0.8569,0.8553,1.9849",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-096-post,postop,2,cavity,1,0,0.0,nan,nan,2166,0,"0.8569,0.8553,1.9849",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-096-post,postop,lesion,lesion,1,1,0.13394433384667392,26.72400297163754,0.08623242042931162,2166,24457,"0.8569,0.8553,1.9849",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-096-pre,preop,1,tumor,1,1,0.32632884510711957,15.24597326084636,0.046494935800303054,18774,93297,"0.9755,0.9626,0.9851",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-096-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.9755,0.9626,0.9851",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-096-pre,preop,lesion,lesion,1,1,0.32632884510711957,15.24597326084636,0.046494935800303054,18774,93297,"0.9755,0.9626,0.9851",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-102-pre,preop,1,tumor,1,1,0.10011309436003343,0.25945288399521815,1.0,7693,12644,"0.0008,0.0174,0.0887",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-102-pre,preop,2,cavity,0,1,nan,nan,nan,0,24796,"0.0008,0.0174,0.0887",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-102-pre,preop,lesion,lesion,1,1,0.07059136330401258,0.2798946083047474,1.0,7693,37440,"0.0008,0.0174,0.0887",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-107-pre,preop,1,tumor,1,1,0.08620081545124927,18.784472884521552,0.20350004364144192,57631,13250,"0.2343,0.2312,4.9330",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-107-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.2343,0.2312,4.9330",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-107-pre,preop,lesion,lesion,1,1,0.08620081545124927,18.784472884521552,0.20350004364144192,57631,13250,"0.2343,0.2312,4.9330",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-109-post,postop,1,tumor,0,1,nan,nan,nan,0,40427,"0.8585,0.8371,1.9460",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-109-post,postop,2,cavity,1,0,0.0,nan,nan,3408,0,"0.8585,0.8371,1.9460",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-109-post,postop,lesion,lesion,1,1,0.0684840880574883,32.71332159205509,0.12080536912751678,3408,40427,"0.8585,0.8371,1.9460",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-109-pre,preop,1,tumor,1,1,0.2264928260998988,28.09118637463476,0.2079593871815792,10361,73624,"0.9755,0.9400,0.9620",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-109-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.9755,0.9400,0.9620",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-109-pre,preop,lesion,lesion,1,1,0.2264928260998988,28.09118637463476,0.2079593871815792,10361,73624,"0.9755,0.9400,0.9620",GAN-cut-2.5D-FLAIR
FLAIR,ReMIND-003-post,postop,1,tumor,0,1,nan,nan,nan,0,26206,"0.9264,0.9265,1.9922",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-003-post,postop,2,cavity,1,0,0.0,nan,nan,2099,0,"0.9264,0.9265,1.9922",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-003-post,postop,lesion,lesion,1,1,0.14209503621268327,24.71452587527433,0.08639596917605216,2099,26206,"0.9264,0.9265,1.9922",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-023-pre,preop,1,tumor,1,1,0.41653088431343505,6.291534536589246,0.2859872611464968,3895,2856,"0.6872,0.6822,2.1845",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-023-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.6872,0.6822,2.1845",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-023-pre,preop,lesion,lesion,1,1,0.41653088431343505,6.291534536589246,0.2859872611464968,3895,2856,"0.6872,0.6822,2.1845",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-032-post,postop,1,tumor,1,1,0.07393410852713178,17.407840812242778,0.198094393972967,13367,7273,"0.8594,0.8379,1.9501",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-032-post,postop,2,cavity,1,0,0.0,nan,nan,6211,0,"0.8594,0.8379,1.9501",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-032-post,postop,lesion,lesion,1,1,0.11872928382555585,14.736206578798011,0.23335858859183894,19578,7273,"0.8594,0.8379,1.9501",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-032-pre,preop,1,tumor,1,1,0.25211070477222447,18.28028402314886,0.2420859858725037,32911,11387,"0.8208,0.8169,1.9763",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-032-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.8208,0.8169,1.9763",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-032-pre,preop,lesion,lesion,1,1,0.25211070477222447,18.28028402314886,0.2420859858725037,32911,11387,"0.8208,0.8169,1.9763",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-045-pre,preop,1,tumor,1,1,0.6629051305602939,3.0247737823085497,0.6385636221701796,123470,74676,"0.2608,0.2430,0.9600",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-045-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.2608,0.2430,0.9600",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-045-pre,preop,lesion,lesion,1,1,0.6629051305602939,3.0247737823085497,0.6385636221701796,123470,74676,"0.2608,0.2430,0.9600",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-056-post,postop,1,tumor,0,1,nan,nan,nan,0,5644,"0.8539,0.8523,1.9741",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-056-post,postop,2,cavity,1,0,0.0,nan,nan,17551,0,"0.8539,0.8523,1.9741",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-056-post,postop,lesion,lesion,1,1,0.05104548394050442,25.101118622878975,0.1443561684904812,17551,5644,"0.8539,0.8523,1.9741",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-056-pre,preop,1,tumor,1,1,0.5556644524302152,8.329926974304627,0.2730893359884639,55846,26801,"0.7937,0.7936,1.2000",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-056-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.7937,0.7936,1.2000",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-056-pre,preop,lesion,lesion,1,1,0.5556644524302152,8.329926974304627,0.2730893359884639,55846,26801,"0.7937,0.7936,1.2000",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-077-post,postop,1,tumor,1,1,0.04510921177587844,17.892259567856645,0.08814976372228281,2094,14754,"0.8558,0.8268,1.9283",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-077-post,postop,2,cavity,1,0,0.0,nan,nan,2767,0,"0.8558,0.8268,1.9283",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-077-post,postop,lesion,lesion,1,1,0.10848840173336732,17.54637064228083,0.19970171513795676,4861,14754,"0.8558,0.8268,1.9283",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-077-pre,preop,1,tumor,1,1,0.05483998419596997,21.64762918977956,0.12066775539829432,6841,5814,"0.9765,0.9644,0.9880",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-077-pre,preop,2,cavity,1,0,0.0,nan,nan,5265,0,"0.9765,0.9644,0.9880",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-077-pre,preop,lesion,lesion,1,1,0.03872767857142857,21.247530466162864,0.104676710608914,12106,5814,"0.9765,0.9644,0.9880",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-079-post,postop,1,tumor,1,0,0.0,nan,nan,7260,0,"0.7990,0.7254,1.8280",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-079-post,postop,2,cavity,0,0,nan,nan,nan,0,0,"0.7990,0.7254,1.8280",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-079-post,postop,lesion,lesion,1,0,0.0,nan,nan,7260,0,"0.7990,0.7254,1.8280",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-079-pre,preop,1,tumor,1,1,0.18437344480939585,15.971686516810298,0.17614015043320955,14068,36167,"0.9526,0.9132,0.9551",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-079-pre,preop,2,cavity,1,0,0.0,nan,nan,7069,0,"0.9526,0.9132,0.9551",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-079-pre,preop,lesion,lesion,1,1,0.18229093955046768,15.390273719479696,0.19286171574903968,21137,36167,"0.9526,0.9132,0.9551",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-087-pre,preop,1,tumor,1,1,0.09640549942024185,15.10961533816781,0.16796473181484203,11505,12643,"0.9766,0.9734,0.9968",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-087-pre,preop,2,cavity,1,0,0.0,nan,nan,11681,0,"0.9766,0.9734,0.9968",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-087-pre,preop,lesion,lesion,1,1,0.35708504284239023,12.65203726482806,0.2073629734180193,23186,12643,"0.9766,0.9734,0.9968",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-091-pre,preop,1,tumor,1,1,0.48192088512680376,10.049649854580672,0.18183809836783876,25347,34667,"0.9733,0.9707,0.9931",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-091-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.9733,0.9707,0.9931",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-091-pre,preop,lesion,lesion,1,1,0.48192088512680376,10.049649854580672,0.18183809836783876,25347,34667,"0.9733,0.9707,0.9931",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-096-post,postop,1,tumor,0,1,nan,nan,nan,0,5387,"0.8569,0.8553,1.9849",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-096-post,postop,2,cavity,1,0,0.0,nan,nan,2166,0,"0.8569,0.8553,1.9849",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-096-post,postop,lesion,lesion,1,1,0.05904938435058917,16.5676693019278,0.16963385959019148,2166,5387,"0.8569,0.8553,1.9849",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-096-pre,preop,1,tumor,1,1,0.37793066178915863,15.612914250886993,0.07254985150615188,18774,77450,"0.9755,0.9626,0.9851",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-096-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.9755,0.9626,0.9851",GAN-cut-2D+3D-post-FLAIR
FLAIR,ReMIND-096-pre,preop,lesion,lesion,1,1,0.37793066178915863,15.612914250886993,0.07254985150615188,18774,77450,"0.9755,0.9626,0.9851",GAN-cut-2D+3D-post-FLAIR
