modality,study,phase,class_id,class,gt_present,pred_present,dice,hd95_mm,nsd2mm,gt_vox,pred_vox,spacing,set
T2,ReMIND-003-post,postop,1,tumor,0,1,nan,nan,nan,0,23278,"0.9264,0.9265,1.9922",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-003-post,postop,2,cavity,1,0,0.0,nan,nan,2099,0,"0.9264,0.9265,1.9922",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-003-post,postop,lesion,lesion,1,1,0.15179099184300746,40.19608629752779,0.09509966777408638,2099,23278,"0.9264,0.9265,1.9922",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-023-pre,preop,1,tumor,1,1,0.27474955047521193,47.967705230335184,0.1487688098495212,3895,15570,"0.6872,0.6822,2.1845",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-023-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.6872,0.6822,2.1845",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-023-pre,preop,lesion,lesion,1,1,0.27474955047521193,47.967705230335184,0.1487688098495212,3895,15570,"0.6872,0.6822,2.1845",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-032-post,postop,1,tumor,1,1,0.14039874081846798,31.72894615534557,0.2502454868192462,13367,24753,"0.8594,0.8379,1.9501",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-032-post,postop,2,cavity,1,1,0.0,54.75485283948797,0.0,6211,17,"0.8594,0.8379,1.9501",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-032-post,postop,lesion,lesion,1,1,0.19157571931090467,17.817699434168336,0.25642358532600623,19578,24770,"0.8594,0.8379,1.9501",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-032-pre,preop,1,tumor,1,1,0.16934053220208253,19.286853167918753,0.11794697484704283,32911,18949,"0.8208,0.8169,1.9763",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-032-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.8208,0.8169,1.9763",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-032-pre,preop,lesion,lesion,1,1,0.16934053220208253,19.286853167918753,0.11794697484704283,32911,18949,"0.8208,0.8169,1.9763",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-045-pre,preop,1,tumor,1,1,0.7234881938740795,3.10401564294069,0.6435634880610432,123470,167523,"0.2608,0.2430,0.9600",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-045-pre,preop,2,cavity,0,0,nan,nan,nan,0,0,"0.2608,0.2430,0.9600",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-045-pre,preop,lesion,lesion,1,1,0.7234881938740795,3.10401564294069,0.6435634880610432,123470,167523,"0.2608,0.2430,0.9600",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-056-post,postop,1,tumor,0,1,nan,nan,nan,0,28032,"0.8539,0.8523,1.9741",GAN-cut-2.5D-T2-from-dual
T2,ReMIND-056-post,postop,2,cavity,1,1,0.0,37.11764705548341,0.001422475106685633,17551,7,"0.8539,0.8523,1.9741",GAN-cut-2.5D-T2-from-dual
