set,class,phase,n_studies_total,n_gt_present,n_pred_when_gt_absent,n_dice_evaluable,dice_mean,dice_sd,dice_median,dice_min,dice_max,hd95_mean,hd95_median,nsd_mean,nsd_median
GAN-cut-2.5D-FLAIR,tumor,all,19,15,4,15,0.26822115802186225,0.22911295910406324,0.20059899733055536,0.02367447595561036,0.739885421341387,15.352118311619494,15.066992368514777,0.2869449639749975,0.2079593871815792
GAN-cut-2.5D-FLAIR,tumor,postop,7,3,4,3,0.09214033324429631,0.0671324307464748,0.0904225743675285,0.02588326646822829,0.1601151588971321,23.262297945558117,20.40770782084684,0.1624821258437725,0.1892706449668475
GAN-cut-2.5D-FLAIR,cavity,all,19,9,1,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2.5D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2.5D-FLAIR,lesion,all,19,19,0,19,0.27474162224695664,0.21790057198814577,0.2264928260998988,0.02367447595561036,0.739885421341387,17.16253471435629,14.940896720334209,0.2588460859462101,0.20350004364144192
GAN-cut-2.5D-FLAIR,lesion,postop,7,7,0,7,0.16630346669299537,0.13807386218590326,0.13394433384667392,0.02588326646822829,0.38109536392024984,24.18196274550674,26.72400297163754,0.14898212208260023,0.12080536912751678
GAN-cut-2.5D-FLAIR,tumor,preop,12,12,0,12,0.3122413642162538,0.2354141867765324,0.2764108356035092,0.02367447595561036,0.739885421341387,13.374573403134834,14.68380445270159,0.3180606735078038,0.21629808425265473
GAN-cut-2.5D-FLAIR,cavity,preop,12,3,1,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2.5D-FLAIR,lesion,preop,12,12,0,12,0.3379972129867674,0.2354760065404047,0.3379582786570359,0.02367447595561036,0.739885421341387,13.067868362851868,14.330419915510179,0.3229333981999827,0.24192841153950753
GAN-cut-2D+3D-post-FLAIR,tumor,all,19,15,4,15,0.28127512446795083,0.2087602870883647,0.25211070477222447,0.0,0.6629051305602939,13.429359168934264,15.3612647945274,0.29675624754579605,0.22009018992273535
GAN-cut-2D+3D-post-FLAIR,tumor,postop,7,3,4,3,0.039681106767670074,0.03726474666371056,0.04510921177587844,0.0,0.07393410852713178,17.65005019004971,17.65005019004971,0.1431220788476249,0.1431220788476249
GAN-cut-2D+3D-post-FLAIR,cavity,all,19,9,1,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2D+3D-post-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2D+3D-post-FLAIR,lesion,all,19,19,0,19,0.263065995119778,0.19475237427681633,0.24581392420999623,0.0,0.6629051305602939,15.628639576680207,15.501593985183344,0.2706619241965112,0.20353234427798803
GAN-cut-2D+3D-post-FLAIR,lesion,postop,7,7,0,7,0.08437434574654136,0.04947209438893041,0.10848840173336732,0.0,0.14209503621268327,22.0114273691607,21.13044825877758,0.1605737609102799,0.15699501404033633
GAN-cut-2D+3D-post-FLAIR,tumor,preop,12,12,0,12,0.34167362889302105,0.18792549820174043,0.39530780568489127,0.05483998419596997,0.6629051305602939,12.72591066541502,12.57963259637424,0.3223619423288246,0.2575876609304838
GAN-cut-2D+3D-post-FLAIR,cavity,preop,12,3,1,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2D+3D-post-FLAIR,lesion,preop,12,12,0,12,0.36730279058749943,0.16898875411055558,0.39530780568489127,0.03872767857142857,0.6629051305602939,12.437245680439958,11.350843559704366,0.3257060058396269,0.2575876609304838
GAN-cut-2D-FLAIR,tumor,all,19,15,4,15,0.2122990984168887,0.2396134490541488,0.12691475459005505,0.0,0.7096568428059017,17.80433460464783,16.73829803050724,0.2619842451508975,0.17723658050032065
GAN-cut-2D-FLAIR,tumor,postop,7,3,4,3,0.0044907123902837316,0.0077781420221505,0.0,0.0,0.013472137170851195,32.43570417012506,32.43570417012506,0.02913932844461598,0.02913932844461598
GAN-cut-2D-FLAIR,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,70.61954193737594,70.61954193737594,0.0,0.0
GAN-cut-2D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,70.61954193737594,70.61954193737594,0.0,0.0
GAN-cut-2D-FLAIR,lesion,all,19,19,0,19,0.18620142735917913,0.22946543194766547,0.11293902598250424,0.0,0.7096568428059017,24.65162039509493,23.89083982583276,0.19298333425080877,0.11777488048674489
GAN-cut-2D-FLAIR,lesion,postop,7,7,0,7,0.017353884140542557,0.042269024817175135,0.0,0.0,0.11293902598250424,37.64769634961587,35.74903920482346,0.026152388496538007,0.0
GAN-cut-2D-FLAIR,tumor,preop,12,12,0,12,0.26425119492353993,0.2415371702382913,0.1820439333835583,0.0,0.7096568428059017,14.878060691552381,15.432428347216302,0.30855322849215383,0.18854864713358785
GAN-cut-2D-FLAIR,cavity,preop,12,3,2,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2D-FLAIR,lesion,preop,12,12,0,12,0.28469582757005046,0.23761670531172102,0.289978007525514,0.0,0.7096568428059017,17.562851692628968,16.202800978704367,0.28398203193495647,0.19783288650580877
GAN-cut-3D-FLAIR,tumor,all,19,15,4,15,0.31892389313478353,0.2426499102750416,0.2684535295489726,0.0,0.708027892007867,14.160636082740629,11.785666105489899,0.3193143652175581,0.2477021833452784
GAN-cut-3D-FLAIR,tumor,postop,7,3,4,3,0.07873847805210261,0.06861895711368815,0.07968529352430906,0.00965101249461439,0.1468791281373844,21.00202214641234,21.291955936613626,0.14566038249364918,0.16297297297297297
GAN-cut-3D-FLAIR,cavity,all,19,9,3,9,0.005424321959755031,0.01627296587926509,0.0,0.0,0.048818897637795275,32.48934670738973,35.46908632532558,0.033418584825234444,0.0
GAN-cut-3D-FLAIR,cavity,postop,7,6,0,6,0.008136482939632546,0.01993023150296024,0.0,0.0,0.048818897637795275,29.10033571576732,27.68675105796582,0.041773231031543054,0.0
GAN-cut-3D-FLAIR,lesion,all,19,19,0,19,0.32254798177424276,0.21055383483769613,0.29505052740281773,0.0,0.708027892007867,15.41809820250989,12.155567478810939,0.29731381527989315,0.2575297688536073
GAN-cut-3D-FLAIR,lesion,postop,7,7,0,7,0.19018709634326272,0.15343238441342322,0.20563816017930991,0.0,0.3914027149321267,19.018816449566383,21.291955936613626,0.19539623020656613,0.18558817491274893
GAN-cut-3D-FLAIR,tumor,preop,12,12,0,12,0.3789702469054537,0.23326822383664042,0.46847344059116625,0.0,0.708027892007867,12.294803519921071,10.72562341580484,0.36667454232407876,0.2848950443626921
GAN-cut-3D-FLAIR,cavity,preop,12,3,3,3,0.0,0.0,0.0,0.0,0.0,46.04539067387935,46.04539067387935,0.0,0.0
GAN-cut-3D-FLAIR,lesion,preop,12,12,0,12,0.3997584982756477,0.20506543053405044,0.46847344059116625,0.023960607137418145,0.708027892007867,13.317679225060266,11.19689157142772,0.35676573990600047,0.274382768686129
GAN-cyclegan-2.5D-FLAIR,tumor,all,19,15,3,15,0.2804369529064782,0.22106184760696174,0.2877716233489561,0.0,0.718244279143717,15.191235534474632,13.830943208779578,0.26849785085108296,0.17677324513046674
GAN-cyclegan-2.5D-FLAIR,tumor,postop,7,3,3,3,0.10334660906509535,0.17124377501592877,0.009026628554234993,0.0,0.3010131986410511,15.94734199271293,15.94734199271293,0.1925397367749215,0.1925397367749215
GAN-cyclegan-2.5D-FLAIR,cavity,all,19,9,0,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2.5D-FLAIR,cavity,postop,7,6,0,6,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2.5D-FLAIR,lesion,all,19,19,0,19,0.26062566521812824,0.2171917283250278,0.2588341890667472,0.0,0.718244279143717,17.878185092613517,17.155186685434845,0.2492374220383164,0.17063229506361344
GAN-cyclegan-2.5D-FLAIR,lesion,postop,7,7,0,7,0.11360867074128278,0.17505275331100012,0.05397503654559766,0.0,0.4887515200648561,24.23202852790574,27.520312245463543,0.15250732574225564,0.09254696643055128
GAN-cyclegan-2.5D-FLAIR,tumor,preop,12,12,0,12,0.3247095388668239,0.2148792882111142,0.31730140907773585,0.0,0.718244279143717,15.05376163297676,13.830943208779578,0.2823084170467487,0.17677324513046674
GAN-cyclegan-2.5D-FLAIR,cavity,preop,12,3,0,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cyclegan-2.5D-FLAIR,lesion,preop,12,12,0,12,0.34638557866295483,0.19671957775571483,0.3216625803603377,0.0,0.718244279143717,14.99007444020796,13.830943208779578,0.2932056476274349,0.18631140038645377
GAN-cyclegan-2D+3D-post-FLAIR,tumor,all,19,15,4,15,0.3442101339435576,0.2333705260052321,0.31232249400057244,0.02997825411618515,0.7277162722142368,15.012517085488042,16.084715719061982,0.303309581730378,0.23667205169628433
GAN-cyclegan-2D+3D-post-FLAIR,tumor,postop,7,3,4,3,0.03954092753327318,0.010971270532606145,0.037126068376068376,0.02997825411618515,0.051518460107566014,25.03036540651318,22.442505105978857,0.10540302343499496,0.10162271805273834
GAN-cyclegan-2D+3D-post-FLAIR,cavity,all,19,9,0,9,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
