set,class,phase,n_studies_total,n_gt_present,n_pred_when_gt_absent,n_dice_evaluable,dice_mean,dice_sd,dice_median,dice_min,dice_max,hd95_mean,hd95_median,nsd_mean,nsd_median
GAN-cut-2.5D-T2-from-dual,tumor,all,19,15,4,15,0.2973837247102444,0.21882615564072722,0.27474955047521193,0.06612400763742338,0.7234881938740795,17.149633054266506,16.124168397038616,0.266368543044372,0.16884258096911875
GAN-cut-2.5D-T2-from-dual,tumor,postop,7,3,4,3,0.1009827588512806,0.03734648927788482,0.0964255280979504,0.06612400763742338,0.14039874081846798,24.442172750496,23.01253791714524,0.18539936290042539,0.17879670063076178
GAN-cut-2.5D-T2-from-dual,cavity,all,19,9,2,9,0.0,0.0,0.0,0.0,0.0,45.93624994748569,45.93624994748569,0.0007112375533428165,0.0007112375533428165
GAN-cut-2.5D-T2-from-dual,cavity,postop,7,6,1,6,0.0,0.0,0.0,0.0,0.0,45.93624994748569,45.93624994748569,0.0007112375533428165,0.0007112375533428165
GAN-cut-2.5D-T2-from-dual,lesion,all,19,19,0,19,0.28361483203380355,0.19661452866453694,0.19157571931090467,0.09502762430939227,0.7234881938740795,18.732707374846385,17.94501851868717,0.23680131730879656,0.16696446297399245
GAN-cut-2.5D-T2-from-dual,lesion,postop,7,7,0,7,0.1314282074076998,0.03529589051472712,0.12332393885045691,0.09502762430939227,0.19157571931090467,24.30612542000848,22.378612749193653,0.13897643476529292,0.13263438176069228
GAN-cut-2.5D-T2-from-dual,tumor,preop,12,12,0,12,0.3464839661749853,0.2180385425182852,0.28524279862061364,0.08810840547818281,0.7234881938740795,15.326498130209137,14.44923397023738,0.28661083808035864,0.16465806891525414
GAN-cut-2.5D-T2-from-dual,cavity,preop,12,3,1,3,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
GAN-cut-2.5D-T2-from-dual,lesion,preop,12,12,0,12,0.37239036306569745,0.19809492504781537,0.3016633988912302,0.14148697184519565,0.7234881938740795,15.481546848501829,12.934667686910352,0.29386583212584033,0.1732323458802289
GAN-cut-2.5D-T2-from-single,tumor,all,29,22,7,22,0.23302167776271468,0.19430985725957195,0.19902641362374512,0.0,0.6479585027537302,20.819601728033366,18.103105367433606,0.22409539524652092,0.17730548662097698
GAN-cut-2.5D-T2-from-single,tumor,postop,13,6,7,6,0.12352580842913252,0.06956219771878132,0.11037685071954126,0.04947799814532292,0.22785707952832698,19.183326230875466,19.28032288098366,0.1659496633464395,0.1573597135895498
GAN-cut-2.5D-T2-from-single,cavity,all,29,16,2,16,9.689171382063406e-06,3.875668552825362e-05,0.0,0.0,0.0001550267421130145,37.66602275739592,37.66602275739592,0.0011249744323992637,0.0011249744323992637
GAN-cut-2.5D-T2-from-single,cavity,postop,13,12,0,12,1.291889517608454e-05,4.475236564526981e-05,0.0,0.0,0.0001550267421130145,30.62723699677177,30.62723699677177,0.0022499488647985274,0.0022499488647985274
GAN-cut-2.5D-T2-from-single,lesion,all,29,29,0,29,0.24837085519595553,0.16588413005369815,0.21960657852305707,0.0,0.6479585027537302,21.84499878524629,19.88598424933724,0.2388524014174794,0.1829998539506353
GAN-cut-2.5D-T2-from-single,lesion,postop,13,13,0,13,0.18231753233803663,0.06991622067832885,0.1549451126634802,0.0878762787467614,0.33499800239712346,23.249871406491284,22.130119735785915,0.2227743274124294,0.16718301778542743
GAN-cut-2.5D-T2-from-single,tumor,preop,16,16,0,16,0.27408262876280803,0.2113095891303234,0.24310181405869152,0.0,0.6479585027537302,21.43320503946758,18.103105367433606,0.24590004470905144,0.18448387184980267
GAN-cut-2.5D-T2-from-single,cavity,preop,16,4,2,4,0.0,0.0,0.0,0.0,0.0,44.70480851802007,44.70480851802007,0.0,0.0
GAN-cut-2.5D-T2-from-single,lesion,preop,16,16,0,16,0.30203918001801455,0.20149900736245072,0.30422422091965345,0.0,0.6479585027537302,20.703539780484732,15.287091085532175,0.2519158365465826,0.1855146627063584
