class,phase,best_set,set,n_paired,dice_mean_set,dice_mean_best,wilcoxon_stat,p_value
cavity,all,REAL_FLAIR,GAN-cut-2.5D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cut-2D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cut-3D-FLAIR,9,0.005424321959755031,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,9,0.0004237206525298049,0.4102154679508068,1.0,0.017290280592906253
cavity,all,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,9,0.0010911074740861974,0.4102154679508068,1.0,0.017290280592906253
cavity,all,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,9,0.0,0.4102154679508068,0.0,0.011718685599768628
cavity,all,REAL_FLAIR,ResViT-2.5D-FLAIR,9,0.1705504862743838,0.4102154679508068,9.0,0.20757844233562428
cavity,all,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,9,0.18705716163502595,0.4102154679508068,14.0,0.359375
cavity,all,REAL_FLAIR,ResViT-2D-FLAIR,9,0.12365311988809186,0.4102154679508068,6.0,0.09289194088370534
cavity,all,REAL_FLAIR,ResViT-3D-FLAIR,9,0.10211505068534851,0.4102154679508068,7.0,0.12348527214454895
cavity,all,REAL_FLAIR,SynDiff-2.5D-FLAIR,9,0.12645351120782147,0.4102154679508068,9.0,0.12890625
cavity,all,REAL_FLAIR,SynDiff-2D-FLAIR,9,0.1498267124175131,0.4102154679508068,10.0,0.1640625
cavity,all,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,9,0.14350855459422399,0.4102154679508068,9.0,0.12890625
cavity,all,REAL_FLAIR,SynDiff-3D-FLAIR,9,0.17910639976189924,0.4102154679508068,11.0,0.203125
cavity,preop,REAL_FLAIR,GAN-cut-2.5D-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,GAN-cut-2D-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,GAN-cut-3D-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,3,0.0,0.2952443852322392,0.0,0.25
