set,family,n,median_volume_ratio,mean_recall,mean_precision,mean_dice
GAN-swinpix2pix-2D-T2-from-single,SwinPix2Pix,29,3.761,0.608,0.208,0.268
GAN-cut-2D+3D-post-T2-from-single,CUT,29,3.749,0.573,0.221,0.279
GAN-swinpix2pix-2D+3D-post-T2-from-single,SwinPix2Pix,29,3.654,0.53,0.209,0.259
GAN-cyclegan-2.5D-T2-from-single,CycleGAN,29,3.652,0.603,0.185,0.253
GAN-pix2pix-3D-T2-from-dual,Pix2Pix,19,3.289,0.607,0.169,0.238
GAN-swinpix2pix-2.5D-T2-from-single,SwinPix2Pix,29,3.277,0.531,0.217,0.256
GAN-pix2pix-2.5D-T2-from-single,Pix2Pix,29,3.156,0.518,0.208,0.245
GAN-cyclegan-2D-T2-from-dual,CycleGAN,19,3.03,0.65,0.239,0.322
GAN-swinpix2pix-2.5D-T2-from-dual,SwinPix2Pix,19,2.981,0.485,0.193,0.243
GAN-cut-2D-T2-from-single,CUT,29,2.977,0.528,0.214,0.258
GAN-swinpix2pix-3D-T2-from-dual,SwinPix2Pix,19,2.955,0.549,0.183,0.246
GAN-cyclegan-2D+3D-post-T2-from-single,CycleGAN,29,2.879,0.499,0.188,0.249
GAN-pix2pix-3D-T2-from-single,Pix2Pix,29,2.828,0.407,0.151,0.196
GAN-cyclegan-2D+3D-post-T2-from-dual,CycleGAN,19,2.757,0.625,0.223,0.305
GAN-cut-2.5D-T2-from-single,CUT,29,2.744,0.493,0.208,0.248
GAN-swinpix2pix-2D+3D-post-T2-from-dual,SwinPix2Pix,19,2.709,0.588,0.225,0.294
GAN-swinpix2pix-2D-T2-from-dual,SwinPix2Pix,19,2.646,0.558,0.222,0.269
GAN-swinpix2pix-3D-T2-from-single,SwinPix2Pix,29,2.645,0.406,0.135,0.184
GAN-pix2pix-2D-T2-from-single,Pix2Pix,29,2.61,0.518,0.212,0.251
GAN-cyclegan-2.5D-T2-from-dual,CycleGAN,19,2.589,0.603,0.232,0.3
GAN-pix2pix-2D+3D-post-T2-from-single,Pix2Pix,29,2.426,0.475,0.205,0.258
GAN-pix2pix-2.5D-T2-from-dual,Pix2Pix,19,2.365,0.529,0.247,0.298
GAN-pix2pix-2D+3D-post-T2-from-dual,Pix2Pix,19,2.286,0.512,0.219,0.274
GAN-pix2pix-2D-T2-from-dual,Pix2Pix,19,2.139,0.531,0.224,0.269
GAN-cut-2.5D-T2-from-dual,CUT,19,2.135,0.583,0.222,0.284
GAN-cut-2D+3D-post-T2-from-dual,CUT,19,2.106,0.534,0.238,0.285
GAN-cyclegan-2D-T2-from-single,CycleGAN,29,1.468,0.3,0.216,0.223
GAN-cyclegan-3D-T2-from-dual,CycleGAN,19,1.296,0.347,0.246,0.267
GAN-cut-3D-T2-from-single,CUT,29,1.275,0.315,0.269,0.237
GAN-cyclegan-3D-T2-from-single,CycleGAN,29,1.21,0.357,0.279,0.273
GAN-cut-2D-T2-from-dual,CUT,19,1.118,0.376,0.244,0.261
GAN-cut-3D-T2-from-dual,CUT,19,1.058,0.365,0.311,0.299
ResViT-2D-T2-from-dual,ResViT,29,0.885,0.334,0.403,0.303
ResViT-2D+3D-refine-T2-from-dual,ResViT,29,0.847,0.37,0.38,0.318
REAL_T2,real MR,29,0.832,0.624,0.796,0.662
ResViT-2D-T2-from-single,ResViT,29,0.796,0.366,0.453,0.352
ResViT-2.5D-T2-from-dual,ResViT,29,0.786,0.336,0.461,0.333
SynDiff-3D+3D-refine-T2,SynDiff,29,0.76,0.341,0.444,0.352
ResViT-2.5D-T2-from-single,ResViT,29,0.739,0.367,0.484,0.376
ResViT-2D+3D-refine-T2-from-single,ResViT,29,0.734,0.418,0.487,0.407
SynDiff-cascade-T2,SynDiff,29,0.665,0.361,0.457,0.366
ResViT-3D-T2-from-single,ResViT,29,0.644,0.335,0.479,0.359
SynDiff-3D-T2,SynDiff,29,0.635,0.185,0.298,0.196
SynDiff-3D-T2-from-dual,SynDiff,29,0.624,0.268,0.373,0.257
ResViT-3D-T2-from-dual,ResViT,29,0.594,0.312,0.44,0.33
SynDiff-joint-T2,SynDiff,29,0.578,0.328,0.506,0.362
SynDiff-2D-T2,SynDiff,29,0.565,0.327,0.519,0.369
SynDiff-2.5D-T2,SynDiff,29,0.516,0.313,0.524,0.35
SynDiff-2D-T2-from-dual,SynDiff,29,0.499,0.313,0.505,0.332
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,29,0.456,0.315,0.502,0.343
SynDiff-2.5D-T2-from-dual,SynDiff,29,0.375,0.252,0.478,0.292
