Experiment,Family,Variant,Target,ssim_t2_mean,ssim_t2_sd,ssim_t2_lo,ssim_t2_hi,ssim_t2_n,ssim_t2_str,psnr_t2_mean,psnr_t2_sd,psnr_t2_lo,psnr_t2_hi,psnr_t2_n,psnr_t2_str,mae_t2_mean,mae_t2_sd,mae_t2_lo,mae_t2_hi,mae_t2_n,mae_t2_str,lpips_t2_mean,lpips_t2_sd,lpips_t2_lo,lpips_t2_hi,lpips_t2_n,lpips_t2_str,ssim_flair_mean,ssim_flair_sd,ssim_flair_lo,ssim_flair_hi,ssim_flair_n,ssim_flair_str,psnr_flair_mean,psnr_flair_sd,psnr_flair_lo,psnr_flair_hi,psnr_flair_n,psnr_flair_str,mae_flair_mean,mae_flair_sd,mae_flair_lo,mae_flair_hi,mae_flair_n,mae_flair_str,lpips_flair_mean,lpips_flair_sd,lpips_flair_lo,lpips_flair_hi,lpips_flair_n,lpips_flair_str
pix2pix_25d_t2,Pix2Pix,2.5D,T2 only,0.8011731500799976,0.047390559013272354,0.7834772245200448,0.8188690756399504,30,0.801 (0.783–0.819),15.096755742036155,1.0011828950895987,14.722907904992457,15.470603579079853,30,15.10 (14.72–15.47),0.11638529201348624,0.020747315915380468,0.10863811692942418,0.1241324670975483,30,0.116 (0.109–0.124),0.25588385369936084,0.04264666247370021,0.2399593282194298,0.27180837917929185,30,0.256 (0.240–0.272),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
pix2pix_25d_t2_flair,Pix2Pix,2.5D,T2+FLAIR,0.7917371225412032,0.0367986792524045,0.7745148105138525,0.8089594345685539,20,0.792 (0.775–0.809),15.01003428906571,1.1682562559005076,14.463273530914087,15.556795047217332,20,15.01 (14.46–15.56),0.1181706305593252,0.02437691836196217,0.10676188158180488,0.1295793795368455,20,0.118 (0.107–0.130),0.26772921850857856,0.037832935878470295,0.2500228594802938,0.2854355775368633,20,0.268 (0.250–0.285),0.7710854489482047,0.051154872569064695,0.7471442316273078,0.7950266662691017,20,0.771 (0.747–0.795),15.38085249709602,1.1619581462230058,14.837039345006682,15.924665649185359,20,15.38 (14.84–15.92),0.12885595411062245,0.02246385117337123,0.11834254813781192,0.13936936008343298,20,0.129 (0.118–0.139),0.2690305788722759,0.04820030763380809,0.24647214050578217,0.2915890172387696,20,0.269 (0.246–0.292)
pix2pix_2d_t2,Pix2Pix,2D,T2 only,0.7994353031397041,0.04923145951786447,0.7810519740341756,0.8178186322452327,30,0.799 (0.781–0.818),15.00582494172419,0.994312992723127,14.634542368383062,15.377107515065319,30,15.01 (14.63–15.38),0.11766366859277096,0.02033642324041166,0.11006992335509119,0.12525741383045072,30,0.118 (0.110–0.125),0.24902228490798034,0.042421925808803204,0.2331816774778764,0.2648628923380843,30,0.249 (0.233–0.265),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
pix2pix_2d_t2_flair,Pix2Pix,2D,T2+FLAIR,0.7923726724422291,0.036054794242211044,0.7754985093163688,0.8092468355680894,20,0.792 (0.775–0.809),14.94592368071055,1.035471169942184,14.461308255745129,15.43053910567597,20,14.95 (14.46–15.43),0.11774600297212597,0.021789863773186653,0.10754803281234733,0.12794397313190461,20,0.118 (0.108–0.128),0.25437198423084084,0.03634534141572708,0.23736184084203038,0.2713821276196513,20,0.254 (0.237–0.271),0.771992244910856,0.05057481401222298,0.7483225033511282,0.795661986470584,20,0.772 (0.748–0.796),15.40833427705304,1.0242001203825333,14.92899386565701,15.88767468844907,20,15.41 (14.93–15.89),0.1283087152987718,0.01925988098709537,0.11929481353087826,0.13732261706666535,20,0.128 (0.119–0.137),0.25831454020728606,0.04818852566630702,0.2357616159713188,0.2808674644432533,20,0.258 (0.236–0.281)
pix2pix_2d_3dpost_t2,Pix2Pix,2D+3D-post,T2 only,0.8138262320340098,0.039480199929045424,0.7990840831000676,0.828568380967952,30,0.814 (0.799–0.829),14.961754186515432,1.1672095658090522,14.525910971759574,15.39759740127129,30,14.96 (14.53–15.40),0.11914509733517963,0.02312864489622312,0.110508719396031,0.12778147527432826,30,0.119 (0.111–0.128),0.24461764438964775,0.03852636680867458,0.2302316625962951,0.25900362618300043,30,0.245 (0.230–0.259),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
pix2pix_2d_3dpost_t2_flair,Pix2Pix,2D+3D-post,T2+FLAIR,0.8084405205287467,0.02632482446845763,0.7961201234310332,0.8207609176264602,20,0.808 (0.796–0.821),14.759323056306878,1.2557913628473398,14.171594607036631,15.347051505577124,20,14.76 (14.17–15.35),0.12098298594355575,0.024270015573544468,0.10962426901110138,0.13234170287601013,20,0.121 (0.110–0.132),0.24872805661025751,0.03220978640137764,0.2336534125467047,0.26380270067381034,20,0.249 (0.234–0.264),0.7888043684711733,0.036732744058632257,0.7716129150643981,0.8059958218779485,20,0.789 (0.772–0.806),15.018067286208861,1.2693941774059856,14.42397252375731,15.612162048660412,20,15.02 (14.42–15.61),0.130488669872284,0.02167899931758632,0.12034258587488622,0.14063475386968177,20,0.130 (0.120–0.141),0.24930501679642575,0.04435524653271481,0.22854612241880848,0.270063911174043,20,0.249 (0.229–0.270)
pix2pix_3d_t2,Pix2Pix,Full-3D,T2 only,0.7819806636640235,0.04343051431613299,0.7657634430958189,0.7981978842322281,30,0.782 (0.766–0.798),14.099068211371751,0.9501440491175587,13.744278592627065,14.453857830116437,30,14.10 (13.74–14.45),0.13377212857206675,0.0204152574626148,0.1261489461520298,0.1413953109921037,30,0.134 (0.126–0.141),0.24575441057515474,0.03807386920168755,0.2315373941651194,0.2599714269851901,30,0.246 (0.232–0.260),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
pix2pix_3d_t2_flair,Pix2Pix,Full-3D,T2+FLAIR,0.7803816634628586,0.033271172469737334,0.7648102754285401,0.7959530514971772,20,0.780 (0.765–0.796),14.12855754445211,0.9797687291996913,13.670011664226928,14.587103424677293,20,14.13 (13.67–14.59),0.13199954777956016,0.023226942901557225,0.12112900388453873,0.1428700916745816,20,0.132 (0.121–0.143),0.25964702242760496,0.02696388353301325,0.2470275364811262,0.2722665083740837,20,0.260 (0.247–0.272),0.7624095216806308,0.042072352887173765,0.7427190544174512,0.7820999889438104,20,0.762 (0.743–0.782),14.403623398455954,1.0055379279849226,13.933017161957386,14.874229634954522,20,14.40 (13.93–14.87),0.1408714666962623,0.018800366797964475,0.1320726241888364,0.1496703092036882,20,0.141 (0.132–0.150),0.26160476778232367,0.0349152291719456,0.24526393752640044,0.2779455980382469,20,0.262 (0.245–0.278)
swinpix2pix_25d_t2,SwinPix2Pix,2.5D,T2 only,0.8019756781763501,0.043931766604471546,0.7855712869276158,0.8183800694250843,30,0.802 (0.786–0.818),15.011230370753715,1.1427165539443944,14.58453299693581,15.43792774457162,30,15.01 (14.58–15.44),0.11769728014866511,0.0220475467864312,0.10946459087815037,0.12592996941917983,30,0.118 (0.109–0.126),0.2335048664053533,0.03712989350176476,0.21964033631461966,0.24736939649608697,30,0.234 (0.220–0.247),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
swinpix2pix_25d_t2_flair,SwinPix2Pix,2.5D,T2+FLAIR,0.7883777264394753,0.03480992821741068,0.7720861785472842,0.8046692743316665,20,0.788 (0.772–0.805),14.511980260222472,1.3217893891183532,13.893363783862112,15.130596736582833,20,14.51 (13.89–15.13),0.12504768297076227,0.02744043745832199,0.11220516292180306,0.1378902030197215,20,0.125 (0.112–0.138),0.24758966512560038,0.03325674981337529,0.2320250271022381,0.26315430314896265,20,0.248 (0.232–0.263),0.7674376161676013,0.04862419471108583,0.7446807925422464,0.7901944397929562,20,0.767 (0.745–0.790),14.909863352022523,1.259016722008601,14.320625388198927,15.499101315846119,20,14.91 (14.32–15.50),0.13598652221262447,0.024166391042339898,0.12467630305363235,0.1472967413716166,20,0.136 (0.125–0.147),0.24859770239538598,0.04575288253148861,0.2271846942354115,0.27001071055536047,20,0.249 (0.227–0.270)
