method,family,regime,target,n,ssim_mean,ssim_ci,ssim_mean_full,ssim_n_full,psnr_mean,psnr_ci,psnr_mean_full,psnr_n_full,mae_mean,mae_ci,mae_mean_full,mae_n_full,lpips_mean,lpips_ci,lpips_mean_full,lpips_n_full
pix2pix-2D-T2,Pix2Pix,2D,T2w only,20,0.7921,0.0174,0.7994,30,14.9464,0.5058,15.0058,30,0.1181,0.0104,0.1177,30,0.2563,0.0174,0.249,30
pix2pix-2D-T2+FLAIR,Pix2Pix,2D,T2w + FLAIR,20,0.7924,0.0169,0.7924,20,14.9459,0.4846,14.9459,20,0.1177,0.0102,0.1177,20,0.2544,0.017,0.2544,20
pix2pix-2.5D-T2,Pix2Pix,2.5D,T2w only,20,0.7941,0.0169,0.8012,30,15.0419,0.5102,15.0968,30,0.1169,0.0106,0.1164,30,0.2626,0.0178,0.2559,30
pix2pix-2.5D-T2+FLAIR,Pix2Pix,2.5D,T2w + FLAIR,20,0.7917,0.0172,0.7917,20,15.01,0.5468,15.01,20,0.1182,0.0114,0.1182,20,0.2677,0.0177,0.2677,20
pix2pix-2D+3D-post-T2,Pix2Pix,2D + 3D-refine,T2w only,20,0.8083,0.0124,0.8138,30,14.8502,0.5992,14.9618,30,0.1204,0.0117,0.1191,30,0.2515,0.0148,0.2446,30
pix2pix-2D+3D-post-T2+FLAIR,Pix2Pix,2D + 3D-refine,T2w + FLAIR,20,0.8084,0.0123,0.8084,20,14.7593,0.5877,14.7593,20,0.121,0.0114,0.121,20,0.2487,0.0151,0.2487,20
pix2pix-3D-T2,Pix2Pix,Full-3D,T2w only,20,0.7739,0.0134,0.782,30,13.8704,0.4496,14.0991,30,0.1365,0.0101,0.1338,30,0.2533,0.0139,0.2458,30
pix2pix-3D-T2+FLAIR,Pix2Pix,Full-3D,T2w + FLAIR,20,0.7804,0.0156,0.7804,20,14.1286,0.4585,14.1286,20,0.132,0.0109,0.132,20,0.2597,0.0126,0.2597,20
CUT-2D-T2,CUT,2D,T2w only,20,0.7919,0.0168,0.7997,30,14.7996,0.5203,14.8935,30,0.1207,0.0109,0.1197,30,0.2647,0.0157,0.2573,30
CUT-2D-T2+FLAIR,CUT,2D,T2w + FLAIR,20,0.7873,0.0171,0.7873,20,14.4969,0.5178,14.4969,20,0.1273,0.0114,0.1273,20,0.2452,0.0156,0.2452,20
CUT-2.5D-T2,CUT,2.5D,T2w only,20,0.7896,0.017,0.7973,30,14.8336,0.491,14.9252,30,0.1207,0.0109,0.1197,30,0.2834,0.0164,0.2775,30
CUT-2.5D-T2+FLAIR,CUT,2.5D,T2w + FLAIR,20,0.7897,0.0166,0.7897,20,14.7967,0.4398,14.7967,20,0.1204,0.0102,0.1204,20,0.2764,0.0162,0.2764,20
CUT-2D+3D-post-T2,CUT,2D + 3D-refine,T2w only,20,0.807,0.0125,0.8128,30,14.7662,0.5879,14.8993,30,0.1212,0.0121,0.1199,30,0.2634,0.0136,0.2559,30
CUT-2D+3D-post-T2+FLAIR,CUT,2D + 3D-refine,T2w + FLAIR,20,0.8058,0.0127,0.8058,20,14.6403,0.5681,14.6403,20,0.1236,0.0123,0.1236,20,0.2524,0.0132,0.2524,20
CUT-3D-T2,CUT,Full-3D,T2w only,20,0.7749,0.0152,0.7832,30,14.0693,0.519,14.2653,30,0.1342,0.013,0.1316,30,0.2117,0.0118,0.2023,30
CUT-3D-T2+FLAIR,CUT,Full-3D,T2w + FLAIR,20,0.7729,0.0156,0.7729,20,14.0134,0.4969,14.0134,20,0.1348,0.0126,0.1348,20,0.2175,0.014,0.2175,20
CycleGAN-2D-T2,CycleGAN,2D,T2w only,20,0.7674,0.0209,0.776,30,13.1051,0.8709,13.228,30,0.1671,0.0229,0.1633,30,0.2762,0.0157,0.2666,30
CycleGAN-2D-T2+FLAIR,CycleGAN,2D,T2w + FLAIR,20,0.7968,0.0139,0.7968,20,14.5136,0.4944,14.5136,20,0.1247,0.011,0.1247,20,0.2688,0.0117,0.2688,20
CycleGAN-2.5D-T2,CycleGAN,2.5D,T2w only,20,0.796,0.0147,0.8029,30,14.6475,0.4731,14.8054,30,0.1234,0.0108,0.1215,30,0.2775,0.0124,0.2722,30
CycleGAN-2.5D-T2+FLAIR,CycleGAN,2.5D,T2w + FLAIR,20,0.7967,0.0142,0.7967,20,14.5541,0.4996,14.5541,20,0.1243,0.0111,0.1243,20,0.2767,0.0118,0.2767,20
CycleGAN-2D+3D-post-T2,CycleGAN,2D + 3D-refine,T2w only,20,0.8005,0.012,0.8063,30,14.5774,0.5329,14.6807,30,0.125,0.0123,0.124,30,0.2701,0.0106,0.262,30
CycleGAN-2D+3D-post-T2+FLAIR,CycleGAN,2D + 3D-refine,T2w + FLAIR,20,0.8067,0.0119,0.8067,20,14.5485,0.5346,14.5485,20,0.1241,0.0117,0.1241,20,0.2687,0.0114,0.2687,20
CycleGAN-3D-T2,CycleGAN,Full-3D,T2w only,20,0.7825,0.0147,0.7901,30,14.123,0.4619,14.2526,30,0.1329,0.0123,0.1315,30,0.2166,0.0117,0.208,30
CycleGAN-3D-T2+FLAIR,CycleGAN,Full-3D,T2w + FLAIR,20,0.7875,0.0132,0.7875,20,14.2539,0.4799,14.2539,20,0.1305,0.0119,0.1305,20,0.2303,0.0119,0.2303,20
SwinPix2Pix-2D-T2,SwinPix2Pix,2D,T2w only,20,0.7772,0.0125,0.7845,30,14.831,0.5583,14.9195,30,0.1197,0.0112,0.1189,30,0.2567,0.0121,0.2502,30
SwinPix2Pix-2D-T2+FLAIR,SwinPix2Pix,2D,T2w + FLAIR,20,0.7872,0.013,0.7872,20,14.6064,0.5585,14.6064,20,0.1219,0.0118,0.1219,20,0.245,0.0125,0.245,20
SwinPix2Pix-2.5D-T2,SwinPix2Pix,2.5D,T2w only,20,0.795,0.0149,0.802,30,14.9191,0.5694,15.0112,30,0.1188,0.0112,0.1177,30,0.2412,0.0148,0.2335,30
SwinPix2Pix-2.5D-T2+FLAIR,SwinPix2Pix,2.5D,T2w + FLAIR,20,0.7884,0.0163,0.7884,20,14.512,0.6186,14.512,20,0.125,0.0128,0.125,20,0.2476,0.0156,0.2476,20
SwinPix2Pix-2D+3D-post-T2,SwinPix2Pix,2D + 3D-refine,T2w only,20,0.8068,0.0117,0.8128,30,14.7486,0.6097,14.8822,30,0.1211,0.0119,0.1197,30,0.2422,0.0121,0.2346,30
