method,family,backbone,architecture,target,channel,n,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,ssim_gauss_mean,ssim_gauss_sd,ssim_gauss_ci95,ssim_gauss_median,ssim_gauss_min,ssim_gauss_max
pix2pix-2D+3D-post-T2,pix2pix,GAN,2D+3D-post,t2,t2,30,0.8138262320340097,0.0394801999290453,0.0141278081029552,0.8164236724081412,0.728603191839308,0.9219736008623196,14.961754186515428,1.1672095658090442,0.4176805789058904,15.276688107055008,12.561435023996914,16.67382091383883,0.1191450973351796,0.023128644896223,0.0082764792823362,0.11313072219491,0.0904472768306732,0.1752716451883316,0.2446324750940813,0.0385244184006763,0.0137857860755741,0.2424126771739513,0.1526029421223534,0.3229494734722025,0.816638343571384,0.0384693347225131,0.0137660746344949,0.8194311350588157,0.7339041174879006,0.9218347913964984
CUT-2D+3D-post-T2,CUT,GAN,2D+3D-post,t2,t2,30,0.8127951586505492,0.0385658719234947,0.0138006200282041,0.8144751341324747,0.7393150060901116,0.9204131186275434,14.899322974475773,1.1344024918289564,0.4059407182556623,15.082629352737104,12.17739530092418,16.36693284385104,0.1198592916131019,0.0232150907145537,0.0083074135211413,0.112488642334938,0.0912847816944122,0.1842620074748993,0.2558857492888043,0.0362480834656107,0.0129712100805574,0.2542389179377841,0.1623202320602205,0.3227914887316087,0.8156274053094409,0.0373933593257492,0.0133810417836912,0.8169743929906041,0.7451315877336482,0.9197315059661508
SwinPix2Pix-2D+3D-post-T2,SwinPix2Pix,GAN,2D+3D-post,t2,t2,30,0.8127929231071979,0.0381130132194257,0.0136385666221844,0.8147309323184964,0.7379342027532353,0.9204994206742234,14.88218754477467,1.2160482593005482,0.4351572809207504,15.100008070275894,12.146795226554143,16.602364409017497,0.1196768666307131,0.0234274339618189,0.0083833995762958,0.1123174540698528,0.0884700268507003,0.1774720698595047,0.2346151440597007,0.0339224199365712,0.0121389820748897,0.2321123087263487,0.1394841611385345,0.2933504344785915,0.8156024012744602,0.0371571341150629,0.0132965096776822,0.8174310653440431,0.7436224455754704,0.9200892964387924
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,t2,20,0.8084405205287466,0.0263248244684577,0.0115373630134153,0.8100335229401674,0.7661279943277172,0.8562399709484703,14.759323056306885,1.2557913628473334,0.5503748311652132,14.99157262691515,12.438195020591316,16.264271096433976,0.1209829859435558,0.0242700155735445,0.0106368033089351,0.1165132485330104,0.0955567061901092,0.1751787662506103,0.2487438162026805,0.0322119302956742,0.014117500902212,0.2472731174294815,0.1906198885619313,0.3163638710975647,0.8111204375931269,0.0256381359992354,0.0112364085224922,0.8108370671342637,0.769557352414096,0.8593836009599033
SwinPix2Pix-2D+3D-post-T2+FLAIR,SwinPix2Pix,GAN,2D+3D-post,t2_flair,t2,20,0.8067617410775973,0.0252857962321951,0.0110819888111176,0.8097597973467467,0.7686964896015347,0.8493885772437519,14.611299755777566,1.3143479947204584,0.576038406607954,14.879926182976376,12.068528542552324,16.197830245842603,0.1220259092748165,0.0263958949429914,0.0115685110222164,0.1172651387751102,0.0963201597332954,0.1844812780618667,0.2428708756328596,0.027541499757171,0.0120705944692283,0.246177562798964,0.201635484327818,0.304015667999492,0.8092194667285435,0.0246365148281223,0.0107974286893351,0.8094291471033783,0.7690209676821173,0.8527438334261483
CycleGAN-2D+3D-post-T2+FLAIR,CycleGAN,GAN,2D+3D-post,t2_flair,t2,20,0.8066507830946673,0.0253686093961537,0.0111182832804701,0.8097025661998094,0.7682776697720485,0.8507317651833073,14.548455231389934,1.1423410737858046,0.5006530497171318,15.017462778118674,12.327796222477412,15.88990137455198,0.1241040516644716,0.0250270554069082,0.0109685906446341,0.1200990118086338,0.0972042083740234,0.180657610297203,0.2687454495931259,0.024423982948376,0.0107042824861574,0.271654539273169,0.2299072661201705,0.31209305587203,0.8093273580845679,0.0245262958335964,0.0107491230851575,0.8101676373521712,0.7734412882515359,0.8510945910564236
CycleGAN-2D+3D-post-T2,CycleGAN,GAN,2D+3D-post,t2,t2,30,0.8063278119120333,0.0384020080924816,0.0137419821093554,0.8061676282060857,0.7354141852080227,0.9168170366050132,14.68072492603425,1.1337115846659314,0.4056934803026196,15.014595789315116,11.937405346514389,16.55887472523819,0.1239606820046901,0.0246818040523146,0.0088322701483917,0.1173464804887771,0.0898814126849174,0.1902647912502288,0.2620073909914017,0.0337379681120266,0.0120729768371733,0.2676826957417896,0.1585007970531781,0.3213411652764609,0.8079750224540696,0.0373482861441905,0.0133649125528161,0.8057215252331991,0.7398748590166387,0.9147371551976228
CUT-2D+3D-post-T2+FLAIR,CUT,GAN,2D+3D-post,t2_flair,t2,20,0.8057983313066058,0.0270862669660328,0.0118710799017802,0.8070696467267452,0.7599319584510192,0.8504129367020403,14.640311805222067,1.2137585230651375,0.5319531269053053,14.938829884402129,12.13522219598384,16.14049920083354,0.1235958598554134,0.0262581732801151,0.011508151842184,0.1184232495725154,0.0934762731194496,0.1857199072837829,0.2524174362551096,0.0281307641320177,0.0123288509682081,0.2479344335194085,0.2087598795296399,0.3069101922652301,0.8085331880455678,0.0261419884877369,0.0114572316118169,0.8077669860452165,0.7671424493352328,0.8531306337482489
CycleGAN-2.5D-T2,CycleGAN,GAN,2.5D,t2,t2,30,0.8029384359498053,0.0436298493849343,0.0156127410899385,0.8072925000997891,0.7103381115504539,0.9189826617702916,14.80537601475722,0.9968845699601117,0.3567305619147135,14.978625461772475,12.430836322239662,16.45617382548114,0.1215289816260337,0.0215148994228512,0.0076990078810823,0.1187358498573303,0.0903738588094711,0.1716508716344833,0.2722098312784514,0.0327096694263401,0.0117050048783178,0.2714882294248886,0.1947027802467346,0.3339871519804001,0.8063004178696735,0.0423813358328628,0.0151659662532025,0.8097163896991999,0.7175813936313368,0.9190632947064452
SwinPix2Pix-2.5D-T2,SwinPix2Pix,GAN,2.5D,t2,t2,30,0.8019756781763501,0.0439317666044715,0.0157207807794098,0.8030342723234271,0.7077759414340462,0.9176002104982816,15.011230370753715,1.142716553944407,0.4089158671742148,15.193279799402925,12.654030704979748,16.756661838441993,0.1176972801486651,0.0220475467864311,0.0078896132922181,0.1142575107514858,0.0870223939418792,0.1739172637462616,0.2335162817721487,0.0371237711430021,0.0132845708914586,0.2311151699019493,0.142566663523515,0.3211954595411525,0.805140843853653,0.0430716063015686,0.0154129763681092,0.8050772145883263,0.7141398726730032,0.917491959787228
