method,family,backbone,architecture,target,channel,subject,ssim,ssim_gauss,psnr,mae,lpips,src
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-003-post,0.836649619095061,0.8415817100657834,15.427560579426746,0.1072835177183151,0.2226559364912556,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-003-pre,0.802468675045215,0.8068679577315382,16.041973984246603,0.0988930165767669,0.2157867467877539,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-004-pre,0.876834540682669,0.877627355675308,16.334894674047824,0.0918933451175689,0.1878472736439643,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-023-post,0.7372779155749837,0.7444436998882348,15.319544695766584,0.1012750566005706,0.3149246253349163,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-023-pre,0.7030775311522532,0.7045859675827115,14.493652582692889,0.1117347255349159,0.3548325159970452,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-031-post,0.8453688125931665,0.8499241332130566,15.66521518491429,0.1089076921343803,0.2208947825588678,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-031-pre,0.7765451021216119,0.7810492969902946,16.02387857301201,0.1027593612670898,0.2369960898667881,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-032-post,0.8004272240515338,0.8037397428215355,14.680655340145288,0.1139964535832405,0.2508898113782589,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-032-pre,0.7625942574619835,0.7697094087820229,14.361208037416336,0.1251371502876281,0.2912275368391081,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-034-post,0.751432869523746,0.7587403328323188,14.713996857940014,0.1258308738470077,0.3005301812291145,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-034-pre,0.6822531575144538,0.6906988949114682,14.315282569527026,0.1422562301158905,0.3263131113102038,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-045-post,0.8572457142206334,0.8617465235335954,15.165858757452424,0.116118423640728,0.204169548076132,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-045-pre,0.7904714615037386,0.7935410966521161,15.676308923213846,0.1027735993266105,0.2607675252520308,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-056-post,0.7704251373206968,0.7743933593820825,12.818026381475898,0.1550609916448593,0.2762959568664945,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-056-pre,0.745506490265666,0.7530512008510536,15.476105912098742,0.1298221498727798,0.2740181135358633,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-077-post,0.8025795657446058,0.8068389433470011,14.844106575627,0.107512354850769,0.2764596955196277,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-077-pre,0.7987240155156138,0.8008779244547174,15.613003285768484,0.0949054956436157,0.2507383146826525,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-079-post,0.8471149702004255,0.8487383107882939,13.07329473914056,0.1609911024570465,0.2388663867840895,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-079-pre,0.7932501929484364,0.7981995820873624,16.67399316835582,0.0990301594138145,0.2226720215887996,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-087-post,0.8222475168306839,0.8256830666769921,14.175015718157017,0.135024681687355,0.2424494177103042,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-087-pre,0.7675328810953637,0.7711820820861003,14.86227708018686,0.1267737299203872,0.2487286668132852,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-091-post,0.8077775966084388,0.809647273933413,14.627791904167005,0.1102536395192146,0.2509163551508112,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-091-pre,0.8131528290986941,0.8159889192286022,15.942843928542974,0.0934057980775833,0.2277176943750469,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-096-post,0.8177482102797371,0.8197921304229847,15.448335859403793,0.0944749265909195,0.2454279824051746,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-096-pre,0.8131910160095204,0.8172166989800157,16.21095533150521,0.0999751985073089,0.2212752710316288,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-102-pre,0.8429460300599684,0.8476616252707517,16.170198469596386,0.1126897633075714,0.1959082514743556,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-107-post,0.9189515413612436,0.9196431336911044,14.1829086781254,0.1360992193222046,0.1581671332319577,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-107-pre,0.7683230506673219,0.7688903782944121,13.400357386338328,0.1652017831802368,0.2789942166871494,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-109-post,0.8042252944764177,0.8068681921378309,13.472645000417357,0.1372303515672683,0.2610168135828442,nifti
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,ReMIND-109-pre,0.8267158751672373,0.8278223146941224,14.962858073016886,0.1225992664694786,0.2134396660703796,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-003-post,0.8397359399194821,0.8444670209432549,15.463434596955109,0.1069136634469032,0.2199794781558653,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-003-post,0.7930758809693472,0.8000901550186683,16.199378940802347,0.1184372156858444,0.2377072661822917,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-023-post,0.7380419778572791,0.7455949505710575,15.350538788077706,0.0990818962454795,0.3149847134395881,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-023-post,0.6559715556303998,0.6626494610913182,15.128722171986622,0.1353433430194854,0.3661550272394109,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-023-pre,0.7127698413239822,0.7144172532953116,14.617078167542196,0.1100935712456703,0.3437963680309407,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-023-pre,0.6393488286396923,0.6426656057401702,14.73876315397774,0.1349809020757675,0.3715373216306462,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-032-post,0.8009001912341779,0.8041848195418354,14.684502593941236,0.1131296381354332,0.2488086559833624,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-032-post,0.7669346804822939,0.7702876350712763,15.055621231203236,0.1299481838941574,0.2677548065399512,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-032-pre,0.7640546179693374,0.771499527784288,14.36467538665374,0.1258025020360946,0.292276875570763,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-032-pre,0.7309643455097331,0.7388664877544443,14.90917368528738,0.1314326226711273,0.3092660165803377,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-045-pre,0.7916189710476785,0.7946639302699822,15.86872821073728,0.1013180390000343,0.2577468522501235,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-045-pre,0.7842339295584015,0.785518006006951,16.058252926650063,0.1152411177754402,0.260843070566046,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-056-post,0.769678415831038,0.7735251053753356,12.88129505234161,0.1531120985746383,0.273505854709395,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,ReMIND-056-post,0.7363400746264308,0.7414329706859636,13.935611890751328,0.153307631611824,0.2845296001639859,nifti
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,ReMIND-056-pre,0.7444182016558506,0.7524345608117851,15.47070576479096,0.1289709508419037,0.273465794959554,nifti
