method,family,backbone,architecture,target,channel,n,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,14,0.81568,0.04614,0.02417,0.81276,0.73728,0.91895,14.54393,0.90063,0.47178,14.69733,12.81803,15.66522,0.12215,0.0201,0.01053,0.11506,0.09447,0.16099,0.2474,0.03973,0.02081,0.24816,0.15817,0.31492
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,8,0.8028,0.03583,0.02483,0.80357,0.73804,0.8482,14.39353,1.13775,0.78842,14.79633,12.86524,15.49929,0.12182,0.02648,0.01835,0.11002,0.0933,0.16441,0.25923,0.0296,0.02051,0.25323,0.21998,0.31498
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,8,0.76451,0.05266,0.03649,0.77441,0.65597,0.82356,14.97497,1.21973,0.84523,15.09217,13.44258,16.8214,0.13522,0.02384,0.01652,0.13265,0.09366,0.1686,0.27449,0.0398,0.02758,0.2644,0.23771,0.36616
pix2pix-2.5D-T2,pix2pix,GAN,2.5D,t2,t2,14,0.81781,0.04432,0.02321,0.81431,0.74239,0.91766,14.63055,0.91336,0.47845,14.7272,13.00149,15.83414,0.1206,0.02044,0.01071,0.11316,0.09371,0.16168,0.25599,0.03932,0.0206,0.25581,0.16836,0.31919
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,t2,8,0.80114,0.03464,0.024,0.80315,0.73375,0.84224,14.47267,1.15584,0.80096,14.75612,12.79858,15.73094,0.1218,0.02632,0.01824,0.11157,0.09478,0.16436,0.27515,0.03063,0.02122,0.26938,0.23885,0.33777
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,flair,8,0.76323,0.05048,0.03498,0.77493,0.65619,0.81801,14.98336,1.21755,0.84372,15.08885,13.29141,16.58006,0.1351,0.02412,0.01671,0.13251,0.09622,0.1719,0.28668,0.03833,0.02656,0.27865,0.24988,0.37569
pix2pix-2D+3D-post-T2,pix2pix,GAN,2D+3D-post,t2,t2,14,0.83096,0.03827,0.02005,0.82657,0.76502,0.92197,14.55814,1.0662,0.55851,14.82351,12.5915,15.72342,0.1234,0.02414,0.01265,0.11313,0.09564,0.17527,0.241,0.03806,0.01994,0.24241,0.1526,0.30038
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,t2,8,0.82353,0.02389,0.01656,0.82505,0.78555,0.85624,14.20225,1.24995,0.86617,14.71353,12.4382,15.48606,0.12549,0.02984,0.02068,0.11161,0.09597,0.17518,0.25047,0.02361,0.01636,0.24781,0.21812,0.29322
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,flair,8,0.78554,0.0408,0.02827,0.79426,0.70414,0.8284,14.50048,1.16733,0.80892,14.65299,12.94079,16.20186,0.14084,0.02236,0.0155,0.13934,0.10285,0.17377,0.26327,0.03319,0.023,0.25575,0.23451,0.34158
pix2pix-3D-T2,pix2pix,GAN,3D,t2,t2,14,0.80087,0.04387,0.02298,0.79332,0.72588,0.90667,14.03232,0.98516,0.51606,14.2129,11.98198,15.18786,0.13442,0.02123,0.01112,0.1255,0.10921,0.17994,0.24226,0.04028,0.0211,0.24581,0.14769,0.30605
