method,family,backbone,architecture,target,channel,n,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max
pix2pix-2D-T2,pix2pix,GAN,2D,t2,t2,16,0.78522,0.04878,0.0239,0.79186,0.68225,0.87683,15.40999,0.91381,0.44777,15.64466,13.40036,16.67399,0.11374,0.02036,0.00997,0.10725,0.09189,0.1652,0.25045,0.04588,0.02248,0.24286,0.18785,0.35483
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,12,0.78542,0.03601,0.02038,0.79025,0.71277,0.84058,15.31419,0.81139,0.45909,15.51378,13.65121,16.30269,0.11503,0.01881,0.01064,0.11318,0.09531,0.15945,0.25114,0.04117,0.02329,0.24934,0.19619,0.3438
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,flair,12,0.77698,0.05085,0.02877,0.78651,0.63935,0.83987,15.69725,0.79843,0.45175,15.69084,14.32597,16.80838,0.1237,0.01487,0.00841,0.12399,0.1026,0.15575,0.24754,0.05181,0.02931,0.23822,0.17973,0.37154
pix2pix-2.5D-T2,pix2pix,GAN,2.5D,t2,t2,16,0.78661,0.04643,0.02275,0.79181,0.69335,0.87725,15.50468,0.91354,0.44763,15.69095,13.40761,16.71326,0.1127,0.02096,0.01027,0.10574,0.08977,0.16537,0.25581,0.04663,0.02285,0.24746,0.1939,0.36465
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,t2,12,0.78547,0.03832,0.02168,0.7914,0.69971,0.84,15.36828,1.07575,0.60866,15.50888,12.78693,16.52069,0.11575,0.02387,0.0135,0.11396,0.09475,0.17997,0.2628,0.04252,0.02406,0.2547,0.21551,0.36613
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,flair,12,0.77633,0.05314,0.03006,0.78846,0.62751,0.83664,15.64584,1.09416,0.61908,15.67434,13.29019,17.04409,0.12469,0.02131,0.01206,0.12022,0.09726,0.17638,0.25728,0.05196,0.0294,0.24473,0.19486,0.38296
pix2pix-2D+3D-post-T2,pix2pix,GAN,2D+3D-post,t2,t2,16,0.79884,0.03508,0.01719,0.79816,0.7286,0.87855,15.31492,1.16775,0.5722,15.76104,12.56144,16.67382,0.11542,0.0223,0.01093,0.11023,0.09045,0.17457,0.24781,0.03989,0.01954,0.24316,0.18894,0.32295
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,t2,12,0.79838,0.02362,0.01336,0.79752,0.76613,0.84144,15.1307,1.16342,0.65826,15.65566,12.54831,16.26427,0.11798,0.02064,0.01168,0.12056,0.09556,0.17176,0.24759,0.03787,0.02143,0.24727,0.19062,0.31636
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,flair,12,0.79098,0.03547,0.02007,0.79251,0.70236,0.84061,15.36313,1.2615,0.71376,15.69664,12.90459,16.84379,0.12359,0.01907,0.01079,0.119,0.10136,0.16773,0.24002,0.04961,0.02807,0.22807,0.17554,0.34518
pix2pix-3D-T2,pix2pix,GAN,3D,t2,t2,16,0.76545,0.0368,0.01803,0.76392,0.68747,0.84482,14.15747,0.9468,0.46393,14.19898,12.77109,15.57119,0.1332,0.02036,0.00998,0.13309,0.10997,0.17227,0.24885,0.03708,0.01817,0.24213,0.18884,0.31115
