comparison,metric,n,mean_A,mean_B,stat,p,note
pix2pix-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7994353031397041,0.8138262320340097,0.0,1.862645149230957e-09,
pix2pix-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.005824941724184,14.961754186515428,229.0,0.9515264742076396,
pix2pix-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2490309214091968,0.2446324750940813,103.0,0.0066395364701747,
pix2pix-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7923726724422291,0.8083387407697126,0.0,1.9073486328125e-06,
pix2pix-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.94592368071055,14.850157568116362,85.0,0.4749050140380859,
pix2pix-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2543778889150348,0.2515127677885552,75.0,0.2773551940917969,
pix2pix-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.8011731500799975,0.8138262320340097,0.0,1.862645149230957e-09,
pix2pix-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.09675574203615,14.961754186515428,119.0,0.0185294803231954,
pix2pix-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2558951393893073,0.2446324750940813,0.0,1.862645149230957e-09,
pix2pix-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7917371225412031,0.8083387407697126,0.0,1.9073486328125e-06,
pix2pix-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,15.010034289065718,14.850157568116362,45.0,0.0239505767822265,
pix2pix-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2677405597429636,0.2515127677885552,0.0,1.9073486328125e-06,
pix2pix-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.8084405205287466,0.8083387407697126,97.0,0.7841262817382812,
pix2pix-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.759323056306885,14.850157568116362,30.0,0.0036544799804687,
pix2pix-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2487438162026805,0.2515127677885552,29.0,0.003152847290039,
pix2pix-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7819806636640235,0.8138262320340097,0.0,1.862645149230957e-09,
pix2pix-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.099068211371751,14.961754186515428,16.0,3.1478703022003174e-07,
pix2pix-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2457699673348378,0.2446324750940813,230.0,0.9676735773682594,
pix2pix-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7803816634628585,0.8083387407697126,0.0,1.9073486328125e-06,
pix2pix-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.128557544452102,14.850157568116362,2.0,5.7220458984375e-06,
pix2pix-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2596624443365855,0.2515127677885552,36.0,0.0083084106445312,
CUT-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7996674218065227,0.8138262320340097,0.0,1.862645149230957e-09,
CUT-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.893525367935768,14.961754186515428,167.0,0.1839690934866666,
CUT-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2572733312561249,0.2446324750940813,2.0,5.587935447692871e-09,
CUT-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7873010059614429,0.8083387407697126,0.0,1.9073486328125e-06,
CUT-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.49688706710286,14.850157568116362,13.0,0.0001678466796875,
CUT-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2451649243904844,0.2515127677885552,48.0,0.0327682495117187,
CUT-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7972684282940112,0.8138262320340097,0.0,1.862645149230957e-09,
CUT-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.925170200750406,14.961754186515428,227.0,0.9192965272814037,
CUT-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2774927853503922,0.2446324750940813,0.0,1.862645149230957e-09,
CUT-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7896825015284364,0.8083387407697126,0.0,1.9073486328125e-06,
CUT-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.796747533640184,14.850157568116362,97.0,0.7841262817382812,
CUT-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2763746071290965,0.2515127677885552,0.0,1.9073486328125e-06,
CUT-2D+3D-post-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.8127951586505492,0.8138262320340097,120.0,0.0196608155965805,
CUT-2D+3D-post-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.899322974475773,14.961754186515428,158.0,0.1293530762195587,
CUT-2D+3D-post-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2558857492888043,0.2446324750940813,3.0,9.313225746154784e-09,
CUT-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.8057983313066058,0.8083387407697126,30.0,0.0036544799804687,
CUT-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.640311805222067,14.850157568116362,33.0,0.0055809020996093,
CUT-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2524174362551096,0.2515127677885552,93.0,0.6742229461669922,
CUT-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7831710339824449,0.8138262320340097,0.0,1.862645149230957e-09,
CUT-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.265253464971313,14.961754186515428,12.0,1.30385160446167e-07,
CUT-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2022551510791726,0.2446324750940813,0.0,1.862645149230957e-09,
CUT-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7728941626827089,0.8083387407697126,0.0,1.9073486328125e-06,
CUT-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.013405306776466,14.850157568116362,1.0,3.814697265625e-06,
CUT-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2174645700470668,0.2515127677885552,0.0,1.9073486328125e-06,
CycleGAN-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.775963699132196,0.8138262320340097,0.0,1.862645149230957e-09,
CycleGAN-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,13.227955858169649,14.961754186515428,6.0,2.60770320892334e-08,
CycleGAN-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2665619875103823,0.2446324750940813,51.0,6.286613643169403e-05,
CycleGAN-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7968089964027928,0.8083387407697126,0.0,1.9073486328125e-06,
CycleGAN-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.513561711793631,14.850157568116362,35.0,0.0072956085205078,
CycleGAN-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2688322203227171,0.2515127677885552,7.0,3.62396240234375e-05,
CycleGAN-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.8029384359498053,0.8138262320340097,0.0,1.862645149230957e-09,
CycleGAN-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.80537601475722,14.961754186515428,170.0,0.2054096926003694,
CycleGAN-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2722098312784514,0.2446324750940813,3.0,9.313225746154784e-09,
CycleGAN-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7966508029576872,0.8083387407697126,0.0,1.9073486328125e-06,
CycleGAN-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.55407688644792,14.850157568116362,50.0,0.0399894714355468,
CycleGAN-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.276661632563664,0.2515127677885552,1.0,3.814697265625e-06,
CycleGAN-2D+3D-post-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.8063278119120333,0.8138262320340097,32.0,5.144625902175903e-06,
CycleGAN-2D+3D-post-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.68072492603425,14.961754186515428,97.0,0.0043382328003644,
CycleGAN-2D+3D-post-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2620073909914017,0.2446324750940813,51.0,6.286613643169403e-05,
CycleGAN-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.8066507830946673,0.8083387407697126,52.0,0.048440933227539,
CycleGAN-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.548455231389934,14.850157568116362,36.0,0.0083084106445312,
CycleGAN-2D+3D-post-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2687454495931259,0.2515127677885552,5.0,1.9073486328125e-05,
CycleGAN-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.7900887933292855,0.8138262320340097,0.0,1.862645149230957e-09,
CycleGAN-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.25258651787589,14.961754186515428,19.0,5.718320608139038e-07,
CycleGAN-3D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2080255194872612,0.2446324750940813,1.0,3.725290298461914e-09,
CycleGAN-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7875089519909348,0.8083387407697126,0.0,1.9073486328125e-06,
CycleGAN-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.253924525775622,14.850157568116362,12.0,0.0001335144042968,
CycleGAN-3D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2303256710619954,0.2515127677885552,6.0,2.6702880859375e-05,
SwinPix2Pix-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.78451274154942,0.8138262320340097,0.0,1.862645149230957e-09,
SwinPix2Pix-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,14.919530790689445,14.961754186515428,200.0,0.5158484429121017,
SwinPix2Pix-2D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2501968484076407,0.2446324750940813,129.0,0.0327208992093801,
SwinPix2Pix-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.787216237161523,0.8083387407697126,0.0,1.9073486328125e-06,
SwinPix2Pix-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.606403216215408,14.850157568116362,25.0,0.0016899108886718,
SwinPix2Pix-2D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2449791521613747,0.2515127677885552,44.0,0.021484375,
SwinPix2Pix-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),ssim,30,0.8019756781763501,0.8138262320340097,0.0,1.862645149230957e-09,
SwinPix2Pix-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),psnr,30,15.011230370753715,14.961754186515428,183.0,0.3183960802853107,
SwinPix2Pix-2.5D-T2  vs  BEST(pix2pix-2D+3D-post-T2),lpips,30,0.2335162817721487,0.2446324750940813,16.0,3.1478703022003174e-07,
SwinPix2Pix-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),ssim,20,0.7883777264394755,0.8083387407697126,0.0,1.9073486328125e-06,
SwinPix2Pix-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),psnr,20,14.511980260222462,14.850157568116362,27.0,0.0023250579833984,
SwinPix2Pix-2.5D-T2+FLAIR  vs  BEST(pix2pix-2D+3D-post-T2),lpips,20,0.2475967529184564,0.2515127677885552,72.0,0.2305126190185547,
