method,family,backbone,architecture,target,channel,roi,dilation_mm,phase,n_subjects,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,ssim_n,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,psnr_n,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,mae_n,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,lpips_n
SwinPix2Pix-2D+3D-post-T2+FLAIR,SwinPix2Pix,GAN,2D+3D-post,t2_flair,t2,cavity,0.0,all,20,0.7020696497173636,0.060735719447749095,0.03764438892163874,0.6912912436805496,0.6337290208058838,0.8270623087074171,10,10.359683813164025,2.3581009676465627,1.461566122040392,10.868259074325328,6.688225637118431,13.527886256011568,10,0.275910085439682,0.0922462222817037,0.05717480091944621,0.24335800856351852,0.15173441171646118,0.4395255148410797,10,0.13760823746909906,0.03752808083951466,0.023260145486886877,0.13621193791429204,0.08866703815080902,0.20592504792979785,10
CycleGAN-2D+3D-post-T2+FLAIR,CycleGAN,GAN,2D+3D-post,t2_flair,t2,cavity,0.0,all,20,0.6966586727185138,0.05990757373970562,0.03713109889394434,0.692532013391511,0.5972844134896785,0.7796114138600014,10,9.760584740343749,2.351191657148004,1.457283687025987,9.156812977838408,6.736465005841005,13.266102294736115,10,0.2988312438130379,0.08882420212451254,0.05505381085188283,0.3122774660587311,0.1437930464744568,0.43560418486595154,10,0.13936015093839502,0.04004851821896982,0.024822328759392137,0.1324917101820964,0.08773981550565133,0.21192942133971623,10
ResViT-2D+3D-refine-T2+FLAIR,ResViT,ResViT,2D+3D-refine,t2_flair,t2,cavity,0.0,all,20,0.6949094424644742,0.08414273022322459,0.052152204505893654,0.6760741903631065,0.5993881787203802,0.8857688774198854,10,10.11641524718573,2.1856795799077844,1.3546982387344044,10.058959160569021,6.962794138565372,14.270508875926463,10,0.2779997706413269,0.08440974925248956,0.052317704614866206,0.2671055644750595,0.15453118085861206,0.4141397774219513,10,0.13306574720725828,0.03320084945214627,0.0205780996861426,0.12655009273439646,0.07256785072386265,0.1766659899841289,10
CUT-2D+3D-post-T2+FLAIR,CUT,GAN,2D+3D-post,t2_flair,t2,cavity,0.0,all,20,0.6920244328819026,0.06210011964384098,0.03849005292452636,0.707872668006367,0.5784854114346548,0.7808855429388589,10,9.671948684174966,2.5092867217473946,1.555272023255231,9.00876773759396,7.046877923625919,14.860209239247492,10,0.30509652867913245,0.09049736978806928,0.056090850913822425,0.3191281855106354,0.11821680516004562,0.41939690709114075,10,0.13833615243817038,0.044037816053679,0.027294921174194086,0.11662855888293548,0.08963965796507321,0.221064635685512,10
pix2pix-2D+3D-post-T2+FLAIR,pix2pix,GAN,2D+3D-post,t2_flair,t2,cavity,0.0,all,20,0.6919160550196132,0.05474314994226702,0.033930155861497065,0.6901325514282026,0.6024038820359431,0.7687144427561037,10,9.518175332824196,2.1277599077096716,1.3187992539810363,9.033151044796924,6.944944482920331,12.95883826705819,10,0.30732106417417526,0.0839536079253099,0.05203498529121753,0.3182408809661865,0.152204230427742,0.4229635000228882,10,0.1440566376609888,0.03825049727735702,0.023707903833981435,0.13935265457257628,0.10570176752905051,0.22165568758334434,10
pix2pix-2D+3D-post-T2,pix2pix,GAN,2D+3D-post,t2,t2,cavity,0.0,all,30,0.6895226910920755,0.08362902390528087,0.039754714464729626,0.6828851357448904,0.5462117312981595,0.883519672952368,17,9.667016893728997,1.9426593043508082,0.9234816136822073,9.882477583105679,6.856745816793863,13.482217241437311,17,0.29670948579030876,0.07502864605779741,0.03566635435182508,0.2786259055137634,0.13796332478523254,0.41578108072280884,17,0.14753444419075762,0.05145022579235312,0.024457884834785296,0.1410299022682011,0.0666745966621514,0.2670494243502617,17
CUT-2D+3D-post-T2,CUT,GAN,2D+3D-post,t2,t2,cavity,0.0,all,30,0.686776278561309,0.08376492874526353,0.039819319524738515,0.6960451502136273,0.528186073684823,0.883081386954059,17,9.443742839175021,1.8330470620735009,0.8713752612451804,9.13238136744381,6.533452676014867,13.05470114584718,17,0.30524634175440846,0.070698105446308,0.033607746018877574,0.30178484320640564,0.150889053940773,0.4195805490016937,17,0.15185468685648543,0.05455980768452068,0.025936086234909596,0.1386722220107913,0.06666934979148209,0.28110750019550323,17
SynDiff-3D-T2+FLAIR,SynDiff,SynDiff,3D,t2_flair,t2,cavity,0.0,all,20,0.6859280117355502,0.10223802184678905,0.06336778245115791,0.6732948211953738,0.5054111940680165,0.8955188879771594,10,10.36756923231084,2.4193583472497613,1.4995338392761632,10.527455763953956,7.518079619356907,14.980168772964266,10,0.26369123011827467,0.08200848671365404,0.05082938667384549,0.2333412691950798,0.13643908500671387,0.3815951347351074,10,0.14821549412302754,0.051636140867898896,0.03200441168587737,0.13206402586203897,0.07389648072421551,0.24805220578973358,10
ResViT-3D-T2+FLAIR,ResViT,ResViT,3D,t2_flair,t2,cavity,0.0,all,20,0.6847800063184456,0.07409659871622919,0.04592554768769934,0.682808459574864,0.5961499530888805,0.8656550483389515,10,10.035653303789896,2.013366295635158,1.247897358650913,9.471236776882353,7.9241866610366305,14.046177409242775,10,0.27253107726573944,0.07090847322933319,0.043949527038714506,0.2611516863107681,0.15248923003673553,0.36974385380744934,10,0.13655343213753499,0.040834322779814185,0.025309375472163383,0.13312321978931624,0.07018274031579494,0.20016406210405485,10
SwinPix2Pix-2D+3D-post-T2,SwinPix2Pix,GAN,2D+3D-post,t2,t2,cavity,0.0,all,30,0.683952184963818,0.09384056496797913,0.044608972953412,0.690760222074344,0.49869882640202023,0.8824451786041266,17,9.635475396672714,2.1706788982719023,1.0318752481572868,10.056605141625447,6.150361827523612,13.243121735678836,17,0.2991692090735716,0.08581197035915585,0.040792421338648,0.26927030086517334,0.13887852430343628,0.4356344938278198,17,0.14944138650849034,0.05425628556174208,0.02579180097649909,0.14361887332051992,0.06625888062287764,0.2793924907843272,17
