phase,roi,dilation_mm,comparison,metric,n,mean_A,mean_B,stat,p
all,lesion,0.0,CycleGAN-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7525559604389179,0.7566241829868274,82.0,0.40909767150878906
all,lesion,0.0,CycleGAN-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.883432007296744,15.36103028228957,53.0,0.05316925048828125
all,lesion,0.0,CycleGAN-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10797410639089218,0.10499907631036795,76.0,0.2942523956298828
all,lesion,0.0,ResViT-2D+3D-refine-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7496045858763464,0.7566241829868274,73.0,0.24548721313476562
all,lesion,0.0,ResViT-2D+3D-refine-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.715685583058933,15.36103028228957,56.0,0.069580078125
all,lesion,0.0,ResViT-2D+3D-refine-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10716156974249891,0.10499907631036795,97.0,0.7841262817382812
all,lesion,0.0,pix2pix-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7481903607001167,0.7566241829868274,55.0,0.06372261047363281
all,lesion,0.0,pix2pix-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.471557219497262,15.36103028228957,37.0,0.009435653686523438
all,lesion,0.0,pix2pix-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11176272935575186,0.10499907631036795,24.0,0.0014324188232421875
all,lesion,0.0,CUT-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7458596333878671,0.7566241829868274,31.0,0.0042209625244140625
all,lesion,0.0,CUT-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.516938849225891,15.36103028228957,34.0,0.006389617919921875
all,lesion,0.0,CUT-2D+3D-post-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10678531842508454,0.10499907631036795,98.0,0.8123550415039062
